Caste	StereoType
brahmin	a
brahmin	D
brahmin	v
brahmin	S
brahmin	J
brahmin	I
brahmin	R
brahmin	M
brahmin	e
brahmin	N
brahmin	P
brahmin	d
brahmin	B
brahmin	A
brahmin	n
brahmin	V
brahmin	p
brahmin	k
brahmin	etc
brahmin	K
brahmin	E
brahmin	f
brahmin	i
brahmin	r
brahmin	c
brahmin	s
brahmin	H
brahmin	m
brahmin	b
brahmin	Mrs
brahmin	Mr
brahmin	Dr
brahmin	G
brahmin	F
brahmin	o
brahmin	br
brahmin	Ch
brahmin	T
brahmin	Sr
brahmin	an
brahmin	g
brahmin	Pt
brahmin	/
brahmin	sp
brahmin	""""
brahmin	##r
brahmin	well
brahmin	t
brahmin	U
brahmin	C
brahmin	.
brahmin	ch
brahmin	,
brahmin	in
brahmin	al
brahmin	W
brahmin	Br
brahmin	the
brahmin	O
brahmin	L
brahmin	u
brahmin	No
brahmin	prof
brahmin	ad
brahmin	-
brahmin	bl
brahmin	no
brahmin	Ph
brahmin	fl
brahmin	##d
brahmin	pt
brahmin	ph
brahmin	sh
brahmin	Av
brahmin	ev
brahmin	resp
brahmin	j
brahmin	##l
brahmin	sin
brahmin	II
brahmin	rev
brahmin	cf
brahmin	vs
brahmin	##v
brahmin	child
brahmin	##m
brahmin	Sp
brahmin	MM
brahmin	dr
brahmin	1
brahmin	w
brahmin	ds
brahmin	##t
brahmin	Col
brahmin	co
brahmin	l
brahmin	Rev
brahmin	Y
brahmin	of
brahmin	Abd
brahmin	a
brahmin	agriculture
brahmin	workers
brahmin	labour
brahmin	police
brahmin	work
brahmin	worker
brahmin	people
brahmin	industry
brahmin	well
brahmin	children
brahmin	labor
brahmin	farmers
brahmin	medium
brahmin	farming
brahmin	child
brahmin	men
brahmin	women
brahmin	in
brahmin	hospital
brahmin	paper
brahmin	as
brahmin	agricultural
brahmin	cotton
brahmin	so
brahmin	food
brahmin	business
brahmin	milk
brahmin	marriage
brahmin	the
brahmin	industrial
brahmin	,
brahmin	man
brahmin	co
brahmin	factory
brahmin	education
brahmin	profession
brahmin	film
brahmin	residential
brahmin	.
brahmin	it
brahmin	village
brahmin	art
brahmin	textile
brahmin	an
brahmin	s
brahmin	jobs
brahmin	family
brahmin	farmer
brahmin	road
brahmin	teachers
brahmin	commercial
brahmin	this
brahmin	householder
brahmin	transport
brahmin	students
brahmin	housing
brahmin	Hindu
brahmin	civilian
brahmin	job
brahmin	civil
brahmin	school
brahmin	meat
brahmin	teacher
brahmin	poor
brahmin	pub
brahmin	community
brahmin	k
brahmin	Muslim
brahmin	land
brahmin	commerce
brahmin	social
brahmin	sheep
brahmin	government
brahmin	themselves
brahmin	they
brahmin	office
brahmin	pay
brahmin	such
brahmin	household
brahmin	single
brahmin	d
brahmin	i
brahmin	do
brahmin	metal
brahmin	p
brahmin	their
brahmin	prison
brahmin	Malayalam
brahmin	husband
brahmin	construction
brahmin	brick
brahmin	occupation
brahmin	se
brahmin	money
brahmin	religious
brahmin	no
brahmin	military
brahmin	one
brahmin	plane
brahmin	well
brahmin	a
brahmin	it
brahmin	this
brahmin	man
brahmin	an
brahmin	people
brahmin	us
brahmin	the
brahmin	far
brahmin	in
brahmin	good
brahmin	one
brahmin	as
brahmin	work
brahmin	so
brahmin	god
brahmin	br
brahmin	do
brahmin	God
brahmin	art
brahmin	hard
brahmin	is
brahmin	i
brahmin	bra
brahmin	labour
brahmin	such
brahmin	body
brahmin	I
brahmin	that
brahmin	my
brahmin	he
brahmin	me
brahmin	them
brahmin	.
brahmin	they
brahmin	Jain
brahmin	many
brahmin	men
brahmin	marriage
brahmin	worker
brahmin	s
brahmin	to
brahmin	of
brahmin	things
brahmin	,
brahmin	sin
brahmin	whole
brahmin	freedom
brahmin	all
brahmin	their
brahmin	child
brahmin	his
brahmin	you
