Caste	StereoType
khsatirya	a
khsatirya	S
khsatirya	M
khsatirya	D
khsatirya	P
khsatirya	R
khsatirya	V
khsatirya	J
khsatirya	N
khsatirya	v
khsatirya	d
khsatirya	p
khsatirya	an
khsatirya	s
khsatirya	r
khsatirya	I
khsatirya	m
khsatirya	k
khsatirya	B
khsatirya	K
khsatirya	f
khsatirya	Dr
khsatirya	H
khsatirya	T
khsatirya	b
khsatirya	A
khsatirya	n
khsatirya	Ch
khsatirya	well
khsatirya	Mrs
khsatirya	i
khsatirya	the
khsatirya	g
khsatirya	Mr
khsatirya	-
khsatirya	c
khsatirya	F
khsatirya	e
khsatirya	G
khsatirya	prof
khsatirya	etc
khsatirya	in
khsatirya	ph
khsatirya	of
khsatirya	al
khsatirya	Ph
khsatirya	/
khsatirya	Sr
khsatirya	sp
khsatirya	br
khsatirya	##v
khsatirya	Prof
khsatirya	ch
khsatirya	L
khsatirya	bl
khsatirya	sh
khsatirya	,
khsatirya	ad
khsatirya	fl
khsatirya	.
khsatirya	dr
khsatirya	t
khsatirya	no
khsatirya	Av
khsatirya	resp
khsatirya	far
khsatirya	##d
khsatirya	son
khsatirya	such
khsatirya	x
khsatirya	rev
khsatirya	E
khsatirya	##l
khsatirya	vs
khsatirya	C
khsatirya	Pr
khsatirya	tr
khsatirya	##r
khsatirya	trans
khsatirya	II
khsatirya	av
khsatirya	""""
khsatirya	MM
khsatirya	1
khsatirya	app
khsatirya	l
khsatirya	q
khsatirya	No
khsatirya	Q
khsatirya	con
khsatirya	ev
khsatirya	to
khsatirya	pt
khsatirya	Col
khsatirya	com
khsatirya	and
khsatirya	o
khsatirya	as
khsatirya	Abd
khsatirya	result
khsatirya	a
khsatirya	children
khsatirya	workers
khsatirya	people
khsatirya	farmers
khsatirya	students
khsatirya	themselves
khsatirya	teachers
khsatirya	women
khsatirya	agriculture
khsatirya	labour
khsatirya	child
khsatirya	work
khsatirya	profession
khsatirya	men
khsatirya	worker
khsatirya	artists
khsatirya	family
khsatirya	they
khsatirya	social
khsatirya	them
khsatirya	civilians
khsatirya	village
khsatirya	so
khsatirya	teacher
khsatirya	adults
khsatirya	food
khsatirya	professionals
khsatirya	art
khsatirya	their
khsatirya	young
khsatirya	civilian
khsatirya	householder
khsatirya	k
khsatirya	actors
khsatirya	education
khsatirya	residential
khsatirya	artist
khsatirya	religious
khsatirya	labor
khsatirya	individuals
khsatirya	police
khsatirya	parents
khsatirya	individual
khsatirya	professional
khsatirya	the
khsatirya	girls
khsatirya	material
khsatirya	marriage
khsatirya	agricultural
khsatirya	s
khsatirya	industry
khsatirya	in
khsatirya	villages
khsatirya	such
khsatirya	an
khsatirya	musicians
khsatirya	animals
khsatirya	means
khsatirya	medium
khsatirya	families
khsatirya	husband
khsatirya	d
khsatirya	housing
khsatirya	occupation
khsatirya	household
khsatirya	adult
khsatirya	jobs
khsatirya	relatives
khsatirya	households
khsatirya	co
khsatirya	farming
khsatirya	,
khsatirya	civil
khsatirya	friends
khsatirya	general
khsatirya	music
khsatirya	members
khsatirya	females
khsatirya	community
khsatirya	rural
khsatirya	staff
khsatirya	farmer
khsatirya	collective
khsatirya	living
khsatirya	school
khsatirya	as
khsatirya	well
khsatirya	materials
khsatirya	.
khsatirya	road
khsatirya	/
khsatirya	help
khsatirya	assembly
khsatirya	political
khsatirya	persons
khsatirya	part
khsatirya	many
khsatirya	business
khsatirya	priests
khsatirya	a
khsatirya	well
khsatirya	people
khsatirya	this
khsatirya	work
khsatirya	it
khsatirya	so
khsatirya	things
khsatirya	art
khsatirya	us
khsatirya	one
khsatirya	man
khsatirya	the
khsatirya	in
khsatirya	good
khsatirya	themselves
khsatirya	they
khsatirya	them
khsatirya	such
khsatirya	far
khsatirya	god
khsatirya	an
khsatirya	labour
khsatirya	himself
khsatirya	do
khsatirya	many
khsatirya	as
khsatirya	means
khsatirya	to
khsatirya	all
khsatirya	that
khsatirya	he
khsatirya	she
khsatirya	hard
khsatirya	her
khsatirya	i
khsatirya	women
khsatirya	you
khsatirya	God
khsatirya	respect
khsatirya	yet
khsatirya	marriage
khsatirya	k
khsatirya	body
khsatirya	power
khsatirya	sh
khsatirya	.
khsatirya	children
khsatirya	their
khsatirya	of
khsatirya	men
khsatirya	truth
khsatirya	his
khsatirya	me
khsatirya	charity
khsatirya	together
khsatirya	society
khsatirya	thing
khsatirya	help
khsatirya	justice
khsatirya	lot
khsatirya	on
khsatirya	I
khsatirya	him
khsatirya	is
khsatirya	,
khsatirya	s
khsatirya	worker
khsatirya	child
khsatirya	profession
khsatirya	whole
khsatirya	works
khsatirya	-
khsatirya	Shiva
khsatirya	money
khsatirya	workers
khsatirya	fun
khsatirya	my
khsatirya	life
khsatirya	assembly
khsatirya	and
khsatirya	these
khsatirya	science
khsatirya	self
khsatirya	herself
khsatirya	Jain
khsatirya	capital
khsatirya	everything
khsatirya	something
khsatirya	we
khsatirya	much
khsatirya	love
khsatirya	accident
khsatirya	freedom
khsatirya	##ly
khsatirya	purpose
khsatirya	social
khsatirya	day
khsatirya	result
khsatirya	students
khsatirya	well
khsatirya	a
khsatirya	themselves
khsatirya	they
khsatirya	such
khsatirya	far
khsatirya	them
khsatirya	so
khsatirya	art
khsatirya	their
khsatirya	teachers
khsatirya	this
khsatirya	the
khsatirya	many
khsatirya	as
khsatirya	in
khsatirya	people
khsatirya	children
khsatirya	an
khsatirya	god
khsatirya	artists
khsatirya	priests
khsatirya	d
khsatirya	sh
khsatirya	fast
khsatirya	students
khsatirya	things
khsatirya	offices
khsatirya	br
khsatirya	jobs
khsatirya	""""
khsatirya	high
khsatirya	these
khsatirya	young
khsatirya	himself
khsatirya	food
khsatirya	good
khsatirya	no
khsatirya	farmers
khsatirya	labour
khsatirya	do
khsatirya	court
khsatirya	profession
khsatirya	instruments
khsatirya	materials
khsatirya	/
khsatirya	s
khsatirya	agriculture
khsatirya	,
khsatirya	office
khsatirya	workers
khsatirya	science
khsatirya	engineers
khsatirya	fun
khsatirya	us
khsatirya	to
khsatirya	##ylum
khsatirya	means
khsatirya	much
khsatirya	-
khsatirya	long
khsatirya	k
khsatirya	actors
khsatirya	individuals
khsatirya	v
khsatirya	of
khsatirya	subjects
khsatirya	capital
khsatirya	work
khsatirya	general
khsatirya	employees
khsatirya	women
khsatirya	it
khsatirya	objects
khsatirya	men
khsatirya	others
khsatirya	part
khsatirya	usual
khsatirya	prisoners
khsatirya	doing
khsatirya	professionals
khsatirya	works
khsatirya	religious
khsatirya	merchants
khsatirya	.
khsatirya	civilians
khsatirya	yet
khsatirya	follows
khsatirya	animals
khsatirya	sons
khsatirya	medicine
khsatirya	sl
khsatirya	hospitals
khsatirya	that
khsatirya	nobles
khsatirya	vol
khsatirya	rulers
khsatirya	police
khsatirya	musicians
khsatirya	help
khsatirya	themselves
khsatirya	a
khsatirya	teachers
khsatirya	students
khsatirya	them
khsatirya	children
khsatirya	people
khsatirya	workers
khsatirya	they
khsatirya	men
khsatirya	priests
khsatirya	women
khsatirya	friends
khsatirya	artists
khsatirya	so
khsatirya	police
khsatirya	well
khsatirya	such
khsatirya	clothes
khsatirya	musicians
khsatirya	jobs
khsatirya	food
khsatirya	help
khsatirya	staff
khsatirya	guests
khsatirya	their
khsatirya	work
khsatirya	prisoners
khsatirya	civilians
khsatirya	art
khsatirya	soldiers
khsatirya	labour
khsatirya	individuals
khsatirya	objects
khsatirya	k
khsatirya	as
khsatirya	means
khsatirya	offices
khsatirya	things
khsatirya	sons
khsatirya	actors
khsatirya	others
khsatirya	doctors
khsatirya	relatives
khsatirya	/
khsatirya	d
khsatirya	books
khsatirya	materials
khsatirya	animals
khsatirya	monks
khsatirya	hospitals
khsatirya	works
khsatirya	farmers
khsatirya	in
khsatirya	personnel
khsatirya	the
khsatirya	subjects
khsatirya	engineers
khsatirya	posts
khsatirya	tasks
khsatirya	members
khsatirya	us
khsatirya	officers
khsatirya	singers
khsatirya	shops
khsatirya	villages
khsatirya	sh
khsatirya	employees
khsatirya	seats
khsatirya	persons
khsatirya	s
khsatirya	buildings
khsatirya	roads
khsatirya	girls
khsatirya	monuments
khsatirya	papers
khsatirya	religious
khsatirya	repair
khsatirya	teacher
khsatirya	,
khsatirya	himself
khsatirya	this
khsatirya	office
khsatirya	temples
khsatirya	brothers
khsatirya	many
khsatirya	court
khsatirya	professionals
khsatirya	ministers
khsatirya	passengers
khsatirya	tea
khsatirya	these
khsatirya	hospital
khsatirya	paintings
khsatirya	horses
khsatirya	guides
khsatirya	young
khsatirya	no
khsatirya	stone
khsatirya	locals
khsatirya	conducted
khsatirya	given
khsatirya	awarded
khsatirya	done
khsatirya	made
khsatirya	not
khsatirya	taken
khsatirya	issued
khsatirya	also
khsatirya	held
khsatirya	known
khsatirya	declared
khsatirya	performed
khsatirya	released
khsatirya	registered
khsatirya	elected
khsatirya	published
khsatirya	of
khsatirya	scheduled
khsatirya	organised
khsatirya	scored
khsatirya	engaged
khsatirya	reserved
khsatirya	composed
khsatirya	to
khsatirya	written
khsatirya	located
khsatirya	started
khsatirya	.
khsatirya	directed
khsatirya	available
khsatirya	called
khsatirya	rendered
khsatirya	paid
khsatirya	appointed
khsatirya	celebrated
khsatirya	in
khsatirya	affiliated
khsatirya	used
khsatirya	are
khsatirya	found
khsatirya	produced
khsatirya	carried
khsatirya	reported
khsatirya	noted
khsatirya	the
khsatirya	concerned
khsatirya	distributed
khsatirya	provided
khsatirya	a
khsatirya	for
khsatirya	considered
khsatirya	,
khsatirya	as
khsatirya	marked
khsatirya	granted
khsatirya	them
khsatirya	listed
khsatirya	completed
khsatirya	established
khsatirya	arranged
khsatirya	set
khsatirya	situated
khsatirya	played
khsatirya	married
khsatirya	Hindu
khsatirya	announced
khsatirya	employed
khsatirya	Punjab
khsatirya	recorded
khsatirya	ordained
khsatirya	be
khsatirya	by
khsatirya	legal
khsatirya	organized
khsatirya	fixed
khsatirya	and
khsatirya	executed
khsatirya	selected
khsatirya	present
khsatirya	obtained
khsatirya	out
khsatirya	committed
khsatirya	no
khsatirya	delivered
khsatirya	involved
khsatirya	been
khsatirya	based
khsatirya	Punjabi
khsatirya	recognised
khsatirya	decided
khsatirya	headed
khsatirya	##d
khsatirya	undertaken
khsatirya	their
khsatirya	right
khsatirya	initiated
khsatirya	handled
khsatirya	named
khsatirya	accomplished
khsatirya	conducted
khsatirya	engaged
khsatirya	done
khsatirya	of
khsatirya	given
khsatirya	made
khsatirya	composed
khsatirya	employed
khsatirya	organised
khsatirya	used
khsatirya	awarded
khsatirya	people
khsatirya	are
khsatirya	reserved
khsatirya	performed
khsatirya	written
khsatirya	Hindu
khsatirya	known
khsatirya	published
khsatirya	taken
khsatirya	not
khsatirya	for
khsatirya	women
khsatirya	involved
khsatirya	those
khsatirya	held
khsatirya	in
khsatirya	Muslims
khsatirya	scored
khsatirya	dedicated
khsatirya	cast
khsatirya	educated
khsatirya	religious
khsatirya	released
khsatirya	found
khsatirya	living
khsatirya	paid
khsatirya	directed
khsatirya	concerned
khsatirya	by
khsatirya	students
khsatirya	men
khsatirya	to
khsatirya	started
khsatirya	Muslim
khsatirya	,
khsatirya	Punjabi
khsatirya	active
khsatirya	committed
khsatirya	mainly
khsatirya	Sikh
khsatirya	.
khsatirya	out
khsatirya	members
khsatirya	restricted
khsatirya	mostly
khsatirya	killed
khsatirya	reported
khsatirya	based
khsatirya	issued
khsatirya	and
khsatirya	persons
khsatirya	be
khsatirya	scheduled
khsatirya	considered
khsatirya	working
khsatirya	also
khsatirya	carried
khsatirya	registered
khsatirya	elected
khsatirya	the
khsatirya	produced
khsatirya	settled
khsatirya	left
khsatirya	taught
khsatirya	affiliated
khsatirya	affected
khsatirya	provided
khsatirya	located
khsatirya	on
khsatirya	professional
khsatirya	celebrated
khsatirya	a
khsatirya	them
khsatirya	noted
khsatirya	children
khsatirya	from
khsatirya	services
khsatirya	who
khsatirya	aged
khsatirya	work
khsatirya	been
khsatirya	popular
khsatirya	declared
khsatirya	distributed
khsatirya	is
khsatirya	called
khsatirya	young
khsatirya	undertaken
khsatirya	Punjab
khsatirya	conducted
khsatirya	held
khsatirya	performed
khsatirya	given
khsatirya	known
khsatirya	done
khsatirya	made
khsatirya	awarded
khsatirya	organised
khsatirya	taken
khsatirya	reserved
khsatirya	dedicated
khsatirya	called
khsatirya	located
khsatirya	engaged
khsatirya	also
khsatirya	found
khsatirya	considered
khsatirya	to
khsatirya	present
khsatirya	declared
khsatirya	started
khsatirya	used
khsatirya	in
khsatirya	marked
khsatirya	mentioned
khsatirya	established
khsatirya	composed
khsatirya	very
khsatirya	celebrated
khsatirya	released
khsatirya	situated
khsatirya	noted
khsatirya	published
khsatirya	.
khsatirya	presented
khsatirya	written
khsatirya	followed
khsatirya	committed
khsatirya	carried
khsatirya	been
khsatirya	observed
khsatirya	concerned
khsatirya	directed
khsatirya	the
khsatirya	not
khsatirya	registered
khsatirya	available
khsatirya	involved
khsatirya	are
khsatirya	a
khsatirya	arranged
khsatirya	,
khsatirya	played
khsatirya	scheduled
khsatirya	of
khsatirya	issued
khsatirya	popular
khsatirya	married
khsatirya	place
khsatirya	set
khsatirya	executed
khsatirya	organized
khsatirya	out
khsatirya	stated
khsatirya	treated
khsatirya	offered
khsatirya	affiliated
khsatirya	for
khsatirya	elected
khsatirya	reported
khsatirya	selected
khsatirya	accomplished
khsatirya	recorded
khsatirya	always
khsatirya	addressed
khsatirya	completed
khsatirya	undertaken
khsatirya	on
khsatirya	left
khsatirya	paid
khsatirya	said
khsatirya	scored
khsatirya	be
khsatirya	designated
khsatirya	produced
khsatirya	and
khsatirya	by
khsatirya	headed
khsatirya	usually
khsatirya	living
khsatirya	appointed
khsatirya	pra
khsatirya	fixed
khsatirya	right
khsatirya	decided
khsatirya	only
khsatirya	all
khsatirya	posted
khsatirya	based
khsatirya	conducted
khsatirya	performed
khsatirya	released
khsatirya	made
khsatirya	held
khsatirya	ordained
khsatirya	found
khsatirya	given
khsatirya	educated
khsatirya	used
khsatirya	elected
khsatirya	known
khsatirya	considered
khsatirya	treated
khsatirya	appointed
khsatirya	taken
khsatirya	done
khsatirya	organised
khsatirya	written
khsatirya	married
khsatirya	celebrated
khsatirya	engaged
khsatirya	published
khsatirya	executed
khsatirya	composed
khsatirya	established
khsatirya	adopted
khsatirya	religious
khsatirya	observed
khsatirya	called
khsatirya	awarded
khsatirya	employed
khsatirya	issued
khsatirya	involved
khsatirya	carried
khsatirya	selected
khsatirya	taught
khsatirya	respected
khsatirya	mentioned
khsatirya	committed
khsatirya	trained
khsatirya	directed
khsatirya	noted
khsatirya	also
khsatirya	distinguished
khsatirya	produced
khsatirya	arranged
khsatirya	a
khsatirya	played
khsatirya	declared
khsatirya	served
khsatirya	rendered
khsatirya	completed
khsatirya	not
khsatirya	concerned
khsatirya	successful
khsatirya	located
khsatirya	accepted
khsatirya	presented
khsatirya	killed
khsatirya	practiced
khsatirya	provided
khsatirya	ruled
khsatirya	popular
khsatirya	in
khsatirya	founded
khsatirya	passed
khsatirya	received
khsatirya	built
khsatirya	recorded
khsatirya	identified
khsatirya	registered
khsatirya	marked
khsatirya	,
khsatirya	Sikh
khsatirya	told
khsatirya	paid
khsatirya	followed
khsatirya	cast
khsatirya	constructed
khsatirya	initiated
khsatirya	accomplished
khsatirya	undertaken
khsatirya	living
khsatirya	themselves
khsatirya	formed
khsatirya	the
khsatirya	of
khsatirya	set
khsatirya	regarded
khsatirya	reported
khsatirya	admitted
khsatirya	supported
khsatirya	organized
khsatirya	rich
khsatirya	present
khsatirya	said
khsatirya	introduced
khsatirya	to
khsatirya	active
khsatirya	conducted
khsatirya	performed
khsatirya	done
khsatirya	found
khsatirya	given
khsatirya	engaged
khsatirya	also
khsatirya	involved
khsatirya	used
khsatirya	organised
khsatirya	held
khsatirya	made
khsatirya	celebrated
khsatirya	known
khsatirya	employed
khsatirya	taken
khsatirya	written
khsatirya	called
khsatirya	accomplished
khsatirya	noted
khsatirya	observed
khsatirya	reported
khsatirya	awarded
khsatirya	published
khsatirya	composed
khsatirya	are
khsatirya	carried
khsatirya	not
khsatirya	treated
khsatirya	in
khsatirya	followed
khsatirya	located
khsatirya	mentioned
khsatirya	started
khsatirya	living
khsatirya	released
khsatirya	paid
khsatirya	considered
khsatirya	worked
khsatirya	very
khsatirya	concerned
khsatirya	committed
khsatirya	sung
khsatirya	played
khsatirya	married
khsatirya	executed
khsatirya	marked
khsatirya	.
khsatirya	provided
khsatirya	trained
khsatirya	produced
khsatirya	,
khsatirya	presented
khsatirya	a
khsatirya	popular
khsatirya	educated
khsatirya	taught
khsatirya	so
khsatirya	dedicated
khsatirya	been
khsatirya	to
khsatirya	elected
khsatirya	situated
khsatirya	of
khsatirya	undertaken
khsatirya	by
khsatirya	people
khsatirya	attended
khsatirya	religious
khsatirya	the
khsatirya	established
khsatirya	killed
khsatirya	reserved
khsatirya	included
khsatirya	organized
khsatirya	performing
