Caste	StereoType
obc	a
obc	d
obc	D
obc	c
obc	the
obc	v
obc	s
obc	an
obc	P
obc	p
obc	Mr
obc	in
obc	of
obc	n
obc	L
obc	f
obc	as
obc	J
obc	S
obc	M
obc	Mrs
obc	no
obc	A
obc	well
obc	m
obc	child
obc	H
obc	o
obc	teacher
obc	k
obc	ob
obc	O
obc	.
obc	##r
obc	N
obc	R
obc	T
obc	children
obc	b
obc	Dr
obc	l
obc	Ph
obc	r
obc	C
obc	g
obc	al
obc	,
obc	h
obc	""""
obc	app
obc	x
obc	i
obc	B
obc	ph
obc	bl
obc	fl
obc	con
obc	adult
obc	I
obc	Sr
obc	V
obc	e
obc	pl
obc	F
obc	ev
obc	his
obc	pupil
obc	etc
obc	E
obc	en
obc	son
obc	Ob
obc	K
obc	man
obc	t
obc	all
obc	vol
obc	No
obc	Al
obc	1
obc	##d
obc	such
obc	he
obc	ad
obc	U
obc	art
obc	ps
obc	##o
obc	artist
obc	old
obc	heir
obc	y
obc	pt
obc	one
obc	to
obc	##s
obc	education
obc	/
obc	:
obc	u
obc	a
obc	ob
obc	d
obc	the
obc	in
obc	c
obc	an
obc	D
obc	s
obc	art
obc	so
obc	v
obc	as
obc	of
obc	such
obc	children
obc	Ob
obc	child
obc	P
obc	i
obc	p
obc	pl
obc	.
obc	f
obc	k
obc	e
obc	,
obc	dental
obc	/
obc	ph
obc	well
obc	app
obc	to
obc	b
obc	x
obc	u
obc	men
obc	or
obc	con
obc	education
obc	it
obc	man
obc	this
obc	and
obc	ev
obc	district
obc	o
obc	fl
obc	Ph
obc	I
obc	both
obc	adult
obc	en
obc	al
obc	no
obc	otherwise
obc	-
obc	they
obc	m
obc	co
obc	students
obc	teacher
obc	ps
obc	""""
obc	super
obc	profession
obc	E
obc	pt
obc	use
obc	h
obc	ad
obc	objects
obc	his
obc	their
obc	do
obc	bl
obc	l
obc	us
obc	ort
obc	C
obc	either
obc	self
obc	O
obc	English
obc	adults
obc	g
obc	music
obc	work
obc	he
obc	per
obc	q
obc	professional
obc	:
obc	primary
obc	vol
obc	L
obc	w
obc	artist
obc	academic
obc	two
obc	a
obc	well
obc	in
obc	ob
obc	the
obc	v
obc	i
obc	so
obc	an
obc	such
obc	and
obc	verb
obc	as
obc	of
obc	this
obc	d
obc	us
obc	do
obc	that
obc	e
obc	both
obc	two
obc	it
obc	object
obc	en
obc	they
obc	to
obc	u
obc	objects
obc	fun
obc	c
obc	""""
obc	sound
obc	all
obc	x
obc	,
obc	f
obc	.
obc	vo
obc	long
obc	far
obc	if
obc	/
obc	for
obc	con
obc	on
obc	o
obc	pre
obc	I
obc	br
obc	-
obc	:
obc	1
obc	things
obc	##o
obc	many
obc	s
obc	g
obc	vol
obc	p
obc	art
obc	no
obc	one
obc	way
obc	together
obc	or
obc	is
obc	always
obc	much
obc	w
obc	ad
obc	y
obc	k
obc	ae
obc	we
obc	value
obc	[UNK]
obc	these
obc	Ob
obc	time
obc	their
obc	letters
obc	use
obc	t
obc	pl
obc	case
obc	example
obc	n
obc	b
obc	pro
obc	our
obc	work
obc	'
obc	office
obc	super
obc	double
obc	hell
obc	D
obc	purpose
obc	U
obc	well
obc	ob
obc	a
obc	d
obc	v
obc	such
obc	c
obc	in
obc	as
obc	Ob
obc	so
obc	the
obc	far
obc	an
obc	ph
obc	br
obc	long
obc	i
obc	bl
obc	no
obc	fl
obc	they
obc	e
obc	do
obc	f
obc	of
obc	pre
obc	""""
obc	/
obc	us
obc	p
obc	g
obc	o
obc	D
obc	pl
obc	x
obc	re
obc	and
obc	if
obc	many
obc	con
obc	this
obc	lab
obc	both
obc	s
obc	,
obc	their
obc	b
obc	Oct
obc	fast
obc	##v
obc	much
obc	to
obc	fun
obc	u
obc	vo
obc	offices
obc	low
obc	.
obc	art
obc	that
obc	high
obc	m
obc	sol
obc	super
obc	more
obc	sh
obc	Sol
obc	st
obc	en
obc	office
obc	or
obc	n
obc	vol
obc	O
obc	ev
obc	per
obc	ex
obc	-
obc	red
obc	ad
obc	pro
obc	k
obc	##o
obc	h
obc	##t
obc	vi
obc	it
obc	r
obc	1
obc	he
obc	his
obc	function
obc	de
obc	otherwise
obc	##s
obc	Ph
obc	objects
obc	follows
obc	verb
obc	a
obc	ob
obc	d
obc	well
obc	so
obc	in
obc	such
obc	v
obc	c
obc	as
obc	an
obc	the
obc	/
obc	i
obc	f
obc	""""
obc	D
obc	e
obc	both
obc	do
obc	art
obc	sound
obc	us
obc	p
obc	s
obc	k
obc	ph
obc	o
obc	pl
obc	,
obc	no
obc	.
obc	-
obc	of
obc	Ob
obc	this
obc	and
obc	n
obc	dental
obc	vo
obc	O
obc	objects
obc	x
obc	:
obc	verb
obc	[
obc	or
obc	fl
obc	u
obc	g
obc	to
obc	two
obc	lab
obc	they
obc	I
obc	w
obc	b
obc	super
obc	'
obc	men
obc	h
obc	]
obc	en
obc	voice
obc	P
obc	far
obc	it
obc	etc
obc	br
obc	sh
obc	books
obc	fun
obc	##s
obc	[UNK]
obc	work
obc	more
obc	his
obc	m
obc	con
obc	use
obc	pre
obc	ad
obc	t
obc	all
obc	that
obc	q
obc	complement
obc	re
obc	bl
obc	double
obc	al
obc	C
obc	1
obc	works
obc	st
obc	music
obc	audio
obc	de
obc	E
obc	instrumental
