identity	stereotype
buddhist male	a
buddhist male	well
buddhist male	v
buddhist male	c
buddhist male	e
buddhist male	an
buddhist male	d
buddhist male	""""
buddhist male	n
buddhist male	p
buddhist male	vol
buddhist male	br
buddhist male	s
buddhist male	such
buddhist male	bl
buddhist male	vs
buddhist male	ph
buddhist male	the
buddhist male	i
buddhist male	f
buddhist male	sp
buddhist male	trans
buddhist male	g
buddhist male	-
buddhist male	.
buddhist male	result
buddhist male	in
buddhist male	,
buddhist male	sol
buddhist male	b
buddhist male	V
buddhist male	Pt
buddhist male	of
buddhist male	fl
buddhist male	J
buddhist male	tr
buddhist male	evidence
buddhist male	##v
buddhist male	whole
buddhist male	no
buddhist male	per
buddhist male	/
buddhist male	m
buddhist male	k
buddhist male	far
buddhist male	part
buddhist male	I
buddhist male	r
buddhist male	ad
buddhist male	resp
buddhist male	ch
buddhist male	S
buddhist male	N
buddhist male	Ch
buddhist male	as
buddhist male	art
buddhist male	so
buddhist male	t
buddhist male	pre
buddhist male	D
buddhist male	and
buddhist male	followed
buddhist male	1
buddhist male	al
buddhist male	con
buddhist male	proof
buddhist male	sh
buddhist male	sub
buddhist male	subject
buddhist male	do
buddhist male	pt
buddhist male	did
buddhist male	etc
buddhist male	rev
buddhist male	##d
buddhist male	T
buddhist male	follows
buddhist male	study
buddhist male	;
buddhist male	all
buddhist male	P
buddhist male	R
buddhist male	ev
buddhist male	H
buddhist male	B
buddhist male	##ylum
buddhist male	pr
buddhist male	background
buddhist male	pub
buddhist male	ed
buddhist male	to
buddhist male	lit
buddhist male	sin
buddhist male	ac
buddhist male	red
buddhist male	A
buddhist male	Ph
buddhist male	##p
buddhist male	co
buddhist male	general
buddhist male	a
buddhist male	male
buddhist male	men
buddhist male	female
buddhist male	so
buddhist male	such
buddhist male	women
buddhist male	as
buddhist male	in
buddhist male	s
buddhist male	""""
buddhist male	marriage
buddhist male	p
buddhist male	man
buddhist male	the
buddhist male	child
buddhist male	k
buddhist male	sex
buddhist male	well
buddhist male	clothes
buddhist male	sh
buddhist male	this
buddhist male	themselves
buddhist male	gender
buddhist male	sac
buddhist male	art
buddhist male	children
buddhist male	no
buddhist male	d
buddhist male	,
buddhist male	/
buddhist male	they
buddhist male	work
buddhist male	.
buddhist male	sheep
buddhist male	-
buddhist male	per
buddhist male	teachers
buddhist male	slaves
buddhist male	people
buddhist male	single
buddhist male	f
buddhist male	their
buddhist male	animals
buddhist male	females
buddhist male	##s
buddhist male	co
buddhist male	i
buddhist male	it
buddhist male	workers
buddhist male	se
buddhist male	humans
buddhist male	c
buddhist male	ritual
buddhist male	them
buddhist male	one
buddhist male	an
buddhist male	far
buddhist male	D
buddhist male	wings
buddhist male	subjects
buddhist male	objects
buddhist male	r
buddhist male	his
buddhist male	these
buddhist male	labor
buddhist male	to
buddhist male	bra
buddhist male	not
buddhist male	red
buddhist male	god
buddhist male	adults
buddhist male	fa
buddhist male	do
buddhist male	monks
buddhist male	punishment
buddhist male	adult
buddhist male	pair
buddhist male	her
buddhist male	hair
buddhist male	part
buddhist male	of
buddhist male	individuals
buddhist male	su
buddhist male	al
buddhist male	clothing
buddhist male	young
buddhist male	horse
buddhist male	sons
buddhist male	gods
buddhist male	many
buddhist male	self
buddhist male	same
buddhist male	paper
buddhist male	ph
buddhist male	girls
buddhist male	insects
buddhist male	human
buddhist male	males
buddhist male	students
buddhist male	male
buddhist male	a
buddhist male	female
buddhist male	well
buddhist male	man
buddhist male	far
buddhist male	god
buddhist male	men
buddhist male	one
buddhist male	the
buddhist male	in
buddhist male	so
buddhist male	it
buddhist male	this
buddhist male	""""
buddhist male	he
buddhist male	k
buddhist male	good
buddhist male	his
buddhist male	such
buddhist male	D
buddhist male	no
buddhist male	an
buddhist male	God
buddhist male	do
buddhist male	.
buddhist male	same
