Region	StereoType
arunachali	a
arunachali	v
arunachali	P
arunachali	J
arunachali	S
arunachali	well
arunachali	D
arunachali	R
arunachali	N
arunachali	p
arunachali	V
arunachali	e
arunachali	d
arunachali	the
arunachali	k
arunachali	i
arunachali	M
arunachali	K
arunachali	I
arunachali	A
arunachali	etc
arunachali	B
arunachali	n
arunachali	an
arunachali	E
arunachali	Ch
arunachali	s
arunachali	f
arunachali	T
arunachali	in
arunachali	G
arunachali	c
arunachali	such
arunachali	r
arunachali	g
arunachali	L
arunachali	bl
arunachali	H
arunachali	m
arunachali	sp
arunachali	br
arunachali	F
arunachali	.
arunachali	resp
arunachali	,
arunachali	C
arunachali	-
arunachali	""""
arunachali	b
arunachali	##d
arunachali	U
arunachali	/
arunachali	of
arunachali	no
arunachali	result
arunachali	vol
arunachali	sh
arunachali	ad
arunachali	o
arunachali	u
arunachali	vs
arunachali	ph
arunachali	##r
arunachali	ch
arunachali	this
arunachali	Pt
arunachali	l
arunachali	##v
arunachali	to
arunachali	and
arunachali	al
arunachali	Ph
arunachali	O
arunachali	as
arunachali	per
arunachali	##l
arunachali	it
arunachali	so
arunachali	##t
arunachali	Dr
arunachali	t
arunachali	Br
arunachali	di
arunachali	No
arunachali	W
arunachali	##m
arunachali	##o
arunachali	##i
arunachali	j
arunachali	evidence
arunachali	far
arunachali	all
arunachali	St
arunachali	pt
arunachali	fl
arunachali	Sr
arunachali	tr
arunachali	rev
arunachali	that
arunachali	Pr
arunachali	people
arunachali	farmers
arunachali	agriculture
arunachali	labour
arunachali	workers
arunachali	police
arunachali	villages
arunachali	a
arunachali	teachers
arunachali	children
arunachali	students
arunachali	Tamil
arunachali	themselves
arunachali	district
arunachali	them
arunachali	farming
arunachali	village
arunachali	rural
arunachali	women
arunachali	men
arunachali	they
arunachali	agricultural
arunachali	civilians
arunachali	government
arunachali	their
arunachali	social
arunachali	in
arunachali	so
arunachali	industry
arunachali	profession
arunachali	such
arunachali	work
arunachali	education
arunachali	food
arunachali	jobs
arunachali	Malayalam
arunachali	capital
arunachali	as
arunachali	community
arunachali	population
arunachali	priests
arunachali	districts
arunachali	the
arunachali	poor
arunachali	labor
arunachali	well
arunachali	householder
arunachali	families
arunachali	s
arunachali	,
arunachali	this
arunachali	civilian
arunachali	professionals
arunachali	residential
arunachali	d
arunachali	commerce
arunachali	Kerala
arunachali	Assam
arunachali	child
arunachali	films
arunachali	road
arunachali	religious
arunachali	political
arunachali	tourists
