Region	StereoType
assamese	a
assamese	an
assamese	f
assamese	D
assamese	A
assamese	p
assamese	P
assamese	S
assamese	s
assamese	d
assamese	the
assamese	well
assamese	Mr
assamese	J
assamese	M
assamese	R
assamese	k
assamese	c
assamese	teacher
assamese	v
assamese	ad
assamese	in
assamese	app
assamese	m
assamese	L
assamese	n
assamese	I
assamese	H
assamese	no
assamese	fl
assamese	al
assamese	##ylum
assamese	F
assamese	such
assamese	e
assamese	Mrs
assamese	N
assamese	of
assamese	dr
assamese	U
assamese	E
assamese	sp
assamese	r
assamese	i
assamese	bl
assamese	,
assamese	worker
assamese	B
assamese	all
assamese	as
assamese	.
assamese	us
assamese	Dr
assamese	ph
assamese	g
assamese	profession
assamese	G
assamese	/
assamese	co
assamese	one
assamese	-
assamese	job
assamese	occupation
assamese	clerk
assamese	it
assamese	br
assamese	T
assamese	work
assamese	this
assamese	student
assamese	C
assamese	employment
assamese	com
assamese	ass
assamese	:
assamese	""""
assamese	h
assamese	##r
assamese	o
assamese	pl
assamese	K
assamese	man
assamese	vol
assamese	t
assamese	u
assamese	prof
assamese	per
assamese	W
assamese	office
assamese	O
assamese	en
assamese	medium
assamese	to
assamese	employee
assamese	either
assamese	re
assamese	so
assamese	l
assamese	gr
assamese	far
assamese	a
assamese	an
assamese	s
assamese	the
assamese	f
assamese	k
assamese	d
assamese	ass
assamese	i
assamese	in
assamese	al
assamese	p
assamese	/
assamese	ad
assamese	e
assamese	us
assamese	c
assamese	as
assamese	S
assamese	dr
assamese	such
assamese	m
assamese	this
assamese	app
assamese	it
assamese	A
assamese	D
assamese	I
assamese	teacher
assamese	.
assamese	u
assamese	P
assamese	so
assamese	sp
assamese	well
assamese	me
assamese	,
assamese	agriculture
assamese	bl
assamese	profession
assamese	si
assamese	Assam
assamese	child
assamese	land
assamese	sh
assamese	com
assamese	occupation
assamese	fl
assamese	ph
assamese	agricultural
assamese	labour
assamese	J
assamese	people
assamese	co
assamese	per
assamese	food
assamese	res
assamese	man
assamese	se
assamese	children
assamese	o
assamese	g
assamese	v
assamese	district
assamese	one
assamese	worker
assamese	ka
assamese	ap
assamese	-
assamese	education
assamese	:
assamese	work
assamese	[
assamese	of
assamese	E
assamese	medium
assamese	r
assamese	en
assamese	tax
assamese	job
assamese	social
assamese	br
assamese	super
assamese	gh
assamese	th
assamese	ye
assamese	re
assamese	##ylum
assamese	ju
assamese	B
assamese	self
assamese	labor
assamese	Ass
assamese	to
assamese	teachers
assamese	is
assamese	community
assamese	b
assamese	far
assamese	ex
assamese	a
assamese	well
assamese	us
assamese	this
assamese	it
assamese	so
assamese	an
assamese	far
assamese	the
assamese	man
assamese	such
assamese	work
assamese	people
assamese	one
