Region	StereoType
haryanvi	a
haryanvi	P
haryanvi	p
haryanvi	k
haryanvi	D
haryanvi	R
haryanvi	S
haryanvi	v
haryanvi	d
haryanvi	M
haryanvi	s
haryanvi	the
haryanvi	J
haryanvi	K
haryanvi	c
haryanvi	etc
haryanvi	in
haryanvi	Dr
haryanvi	G
haryanvi	well
haryanvi	Mrs
haryanvi	N
haryanvi	A
haryanvi	V
haryanvi	m
haryanvi	B
haryanvi	e
haryanvi	r
haryanvi	i
haryanvi	g
haryanvi	H
haryanvi	an
haryanvi	prof
haryanvi	L
haryanvi	village
haryanvi	I
haryanvi	T
haryanvi	sp
haryanvi	Mr
haryanvi	al
haryanvi	children
haryanvi	br
haryanvi	f
haryanvi	,
haryanvi	.
haryanvi	/
haryanvi	teacher
haryanvi	n
haryanvi	profession
haryanvi	rev
haryanvi	t
haryanvi	b
haryanvi	bl
haryanvi	no
haryanvi	people
haryanvi	of
haryanvi	such
haryanvi	co
haryanvi	ad
haryanvi	fl
haryanvi	dr
haryanvi	ev
haryanvi	medium
haryanvi	E
haryanvi	Ch
haryanvi	Sr
haryanvi	ph
haryanvi	to
haryanvi	""""
haryanvi	their
haryanvi	www
haryanvi	this
haryanvi	as
haryanvi	Ph
haryanvi	sh
haryanvi	women
haryanvi	one
haryanvi	C
haryanvi	it
haryanvi	app
haryanvi	teachers
haryanvi	child
haryanvi	many
haryanvi	com
haryanvi	so
haryanvi	agriculture
haryanvi	district
haryanvi	labour
haryanvi	o
haryanvi	No
haryanvi	MM
haryanvi	Pr
haryanvi	resp
haryanvi	F
haryanvi	vol
haryanvi	U
haryanvi	students
haryanvi	police
haryanvi	Tamil
haryanvi	per
haryanvi	a
haryanvi	children
haryanvi	workers
haryanvi	labour
haryanvi	farmers
haryanvi	people
haryanvi	themselves
haryanvi	agriculture
haryanvi	teachers
haryanvi	men
haryanvi	students
haryanvi	police
haryanvi	profession
haryanvi	work
haryanvi	women
haryanvi	they
haryanvi	jobs
haryanvi	family
haryanvi	their
haryanvi	them
haryanvi	worker
haryanvi	industry
haryanvi	food
haryanvi	teacher
haryanvi	civilian
haryanvi	village
haryanvi	labor
haryanvi	social
haryanvi	professionals
haryanvi	well
haryanvi	householder
haryanvi	living
haryanvi	the
haryanvi	farming
haryanvi	business
haryanvi	civilians
haryanvi	residential
haryanvi	so
haryanvi	child
haryanvi	marriage
haryanvi	hospital
haryanvi	in
haryanvi	household
haryanvi	occupation
haryanvi	employment
haryanvi	husband
haryanvi	education
haryanvi	as
haryanvi	families
haryanvi	parents
haryanvi	job
haryanvi	adults
haryanvi	actors
haryanvi	farmer
haryanvi	man
haryanvi	co
haryanvi	housing
haryanvi	,
haryanvi	commerce
haryanvi	poor
haryanvi	s
haryanvi	many
haryanvi	villages
haryanvi	office
haryanvi	staff
haryanvi	artists
haryanvi	agricultural
haryanvi	medium
haryanvi	young
haryanvi	relatives
haryanvi	professional
haryanvi	##ylum
haryanvi	transport
haryanvi	help
haryanvi	religious
haryanvi	community
haryanvi	music
haryanvi	an
haryanvi	films
haryanvi	employees
haryanvi	simple
haryanvi	Labour
haryanvi	this
haryanvi	self
haryanvi	pay
haryanvi	government
haryanvi	k
haryanvi	no
haryanvi	prof
haryanvi	school
haryanvi	musicians
haryanvi	her
haryanvi	rural
haryanvi	film
haryanvi	such
haryanvi	brick
haryanvi	d
haryanvi	p
haryanvi	.
haryanvi	services
haryanvi	a
haryanvi	well
haryanvi	man
haryanvi	this
haryanvi	people
haryanvi	it
haryanvi	work
haryanvi	one
haryanvi	the
haryanvi	in
haryanvi	an
haryanvi	he
haryanvi	labour
haryanvi	us
haryanvi	good
haryanvi	teacher
haryanvi	so
haryanvi	himself
haryanvi	her
haryanvi	his
haryanvi	worker
haryanvi	art
haryanvi	profession
haryanvi	men
haryanvi	many
haryanvi	far
haryanvi	job
haryanvi	is
haryanvi	hard
haryanvi	to
haryanvi	police
haryanvi	things
haryanvi	that
haryanvi	fast
haryanvi	help
haryanvi	i
haryanvi	of
haryanvi	she
haryanvi	god
haryanvi	him
haryanvi	day
haryanvi	k
haryanvi	them
haryanvi	.
haryanvi	women
haryanvi	such
haryanvi	charity
haryanvi	,
haryanvi	Mr
haryanvi	as
haryanvi	hospital
haryanvi	me
haryanvi	s
haryanvi	office
haryanvi	they
haryanvi	guru
haryanvi	on
haryanvi	life
haryanvi	I
haryanvi	you
haryanvi	yet
haryanvi	my
haryanvi	children
haryanvi	and
haryanvi	family
haryanvi	respect
haryanvi	themselves
haryanvi	no
haryanvi	artist
haryanvi	marriage
haryanvi	high
haryanvi	way
haryanvi	""""
