Region	StereoType
kannadiga	a
kannadiga	v
kannadiga	e
kannadiga	D
kannadiga	d
kannadiga	S
kannadiga	p
kannadiga	k
kannadiga	R
kannadiga	i
kannadiga	P
kannadiga	J
kannadiga	s
kannadiga	n
kannadiga	c
kannadiga	r
kannadiga	I
kannadiga	o
kannadiga	N
kannadiga	V
kannadiga	f
kannadiga	K
kannadiga	E
kannadiga	t
kannadiga	M
kannadiga	A
kannadiga	g
kannadiga	T
kannadiga	B
kannadiga	ev
kannadiga	H
kannadiga	b
kannadiga	m
kannadiga	L
kannadiga	U
kannadiga	.
kannadiga	G
kannadiga	etc
kannadiga	vs
kannadiga	u
kannadiga	Dr
kannadiga	O
kannadiga	q
kannadiga	an
kannadiga	the
kannadiga	resp
kannadiga	Mrs
kannadiga	Ch
kannadiga	F
kannadiga	,
kannadiga	sp
kannadiga	##d
kannadiga	C
kannadiga	/
kannadiga	bl
kannadiga	ds
kannadiga	no
kannadiga	##v
kannadiga	ph
kannadiga	##r
kannadiga	in
kannadiga	Mr
kannadiga	""""
kannadiga	##l
kannadiga	h
kannadiga	ad
kannadiga	rev
kannadiga	l
kannadiga	sh
kannadiga	-
kannadiga	ch
kannadiga	dr
kannadiga	##vt
kannadiga	prof
kannadiga	tr
kannadiga	Ph
kannadiga	pr
kannadiga	br
kannadiga	Sr
kannadiga	No
kannadiga	##t
kannadiga	Q
kannadiga	Y
kannadiga	fl
kannadiga	www
kannadiga	W
kannadiga	al
kannadiga	vol
kannadiga	he
kannadiga	pt
kannadiga	Sp
kannadiga	x
kannadiga	##m
kannadiga	##ylum
kannadiga	Rev
kannadiga	St
kannadiga	y
kannadiga	z
kannadiga	j
kannadiga	Pr
kannadiga	agriculture
kannadiga	farmers
kannadiga	workers
kannadiga	jobs
kannadiga	a
kannadiga	police
kannadiga	labour
kannadiga	farming
kannadiga	people
kannadiga	teachers
kannadiga	children
kannadiga	education
kannadiga	profession
kannadiga	industry
kannadiga	work
kannadiga	government
kannadiga	students
kannadiga	women
