Region	StereoType
manipuri	a
manipuri	well
manipuri	v
manipuri	p
manipuri	d
manipuri	n
manipuri	the
manipuri	P
manipuri	N
manipuri	of
manipuri	an
manipuri	I
manipuri	in
manipuri	vs
manipuri	D
manipuri	b
manipuri	such
manipuri	M
manipuri	sp
manipuri	i
manipuri	e
manipuri	V
manipuri	s
manipuri	m
manipuri	k
manipuri	-
manipuri	B
manipuri	result
manipuri	g
manipuri	S
manipuri	f
manipuri	.
manipuri	per
manipuri	J
manipuri	c
manipuri	follows
manipuri	A
manipuri	bl
manipuri	is
manipuri	""""
manipuri	,
manipuri	etc
manipuri	ad
manipuri	/
manipuri	medium
manipuri	##d
manipuri	br
manipuri	1
manipuri	as
manipuri	no
manipuri	t
manipuri	r
manipuri	it
manipuri	R
manipuri	T
manipuri	art
manipuri	vol
manipuri	K
manipuri	sol
manipuri	not
manipuri	resp
manipuri	part
manipuri	to
manipuri	sin
manipuri	sh
manipuri	this
manipuri	al
manipuri	do
manipuri	and
manipuri	G
manipuri	so
manipuri	di
manipuri	con
manipuri	ph
manipuri	far
manipuri	trans
manipuri	Ch
manipuri	fl
manipuri	H
manipuri	sub
manipuri	q
manipuri	2
manipuri	de
manipuri	means
manipuri	evidence
manipuri	u
manipuri	us
manipuri	fast
manipuri	followed
manipuri	on
manipuri	j
manipuri	respect
manipuri	x
manipuri	##v
manipuri	E
manipuri	pr
manipuri	ind
manipuri	tr
manipuri	ch
manipuri	self
manipuri	a
manipuri	themselves
manipuri	people
manipuri	men
manipuri	profession
manipuri	medium
manipuri	in
manipuri	s
manipuri	music
manipuri	art
manipuri	agriculture
manipuri	work
manipuri	women
manipuri	well
manipuri	students
manipuri	social
manipuri	as
manipuri	so
manipuri	an
manipuri	/
manipuri	D
manipuri	children
manipuri	man
manipuri	labour
manipuri	workers
manipuri	they
manipuri	food
manipuri	it
manipuri	the
manipuri	farmers
manipuri	p
manipuri	i
manipuri	their
manipuri	them
manipuri	paper
manipuri	such
manipuri	P
manipuri	,
manipuri	teachers
manipuri	k
manipuri	.
manipuri	d
manipuri	education
manipuri	occupation
manipuri	etc
manipuri	self
manipuri	marriage
manipuri	sp
manipuri	material
manipuri	of
manipuri	otherwise
manipuri	academic
manipuri	general
manipuri	religious
manipuri	this
manipuri	artists
manipuri	instrument
manipuri	si
manipuri	worker
manipuri	teacher
manipuri	police
manipuri	living
manipuri	capital
manipuri	industry
manipuri	film
manipuri	fast
manipuri	village
manipuri	al
manipuri	Hindu
manipuri	se
manipuri	materials
manipuri	me
manipuri	Hindi
manipuri	society
manipuri	other
manipuri	-
manipuri	simple
manipuri	subjects
manipuri	community
manipuri	films
manipuri	labor
manipuri	not
manipuri	farming
manipuri	medicine
manipuri	musicians
manipuri	child
manipuri	:
manipuri	co
manipuri	I
manipuri	fields
manipuri	Sanskrit
manipuri	""""
manipuri	v
manipuri	c
manipuri	sh
manipuri	Malayalam
manipuri	artist
manipuri	instrumental
manipuri	M
manipuri	mala
manipuri	well
