Region	StereoType
meghalayan	a
meghalayan	c
meghalayan	well
meghalayan	p
meghalayan	v
meghalayan	S
meghalayan	D
meghalayan	d
meghalayan	e
meghalayan	s
meghalayan	ph
meghalayan	f
meghalayan	r
meghalayan	##r
meghalayan	n
meghalayan	P
meghalayan	I
meghalayan	H
meghalayan	fl
meghalayan	Ph
meghalayan	o
meghalayan	R
meghalayan	Dr
meghalayan	Pt
meghalayan	pt
meghalayan	Ch
meghalayan	the
meghalayan	of
meghalayan	i
meghalayan	an
meghalayan	m
meghalayan	M
meghalayan	k
meghalayan	Mr
meghalayan	##l
meghalayan	in
meghalayan	sp
meghalayan	.
meghalayan	ch
meghalayan	prof
meghalayan	Mrs
meghalayan	g
meghalayan	N
meghalayan	rev
meghalayan	##d
meghalayan	/
meghalayan	no
meghalayan	C
meghalayan	re
meghalayan	,
meghalayan	No
meghalayan	J
meghalayan	V
meghalayan	etc
meghalayan	F
meghalayan	##v
meghalayan	Prof
meghalayan	t
meghalayan	T
meghalayan	ev
meghalayan	Hon
meghalayan	al
meghalayan	br
meghalayan	u
meghalayan	U
meghalayan	dr
meghalayan	h
meghalayan	bl
meghalayan	vol
meghalayan	b
meghalayan	pl
meghalayan	A
meghalayan	ad
meghalayan	Rt
meghalayan	""""
meghalayan	app
meghalayan	##s
meghalayan	##t
meghalayan	G
meghalayan	Non
meghalayan	O
meghalayan	B
meghalayan	Rec
meghalayan	Re
meghalayan	tr
meghalayan	Sp
meghalayan	Sr
meghalayan	such
meghalayan	E
meghalayan	co
meghalayan	pr
meghalayan	dl
meghalayan	sh
meghalayan	vs
meghalayan	fast
meghalayan	Vol
meghalayan	to
meghalayan	non
meghalayan	cand
meghalayan	resp
meghalayan	teachers
meghalayan	farmers
meghalayan	workers
meghalayan	agriculture
meghalayan	people
meghalayan	jobs
meghalayan	a
meghalayan	police
meghalayan	children
meghalayan	men
meghalayan	profession
meghalayan	women
meghalayan	industry
meghalayan	professionals
meghalayan	families
meghalayan	labor
meghalayan	work
meghalayan	teacher
meghalayan	labour
meghalayan	farming
meghalayan	agricultural
meghalayan	students
meghalayan	business
meghalayan	villages
meghalayan	as
meghalayan	village
meghalayan	civilians
meghalayan	worker
meghalayan	they
