Region	StereoType
odiya	a
odiya	P
odiya	p
odiya	N
odiya	S
odiya	v
odiya	J
odiya	R
odiya	M
odiya	D
odiya	d
odiya	i
odiya	k
odiya	B
odiya	r
odiya	an
odiya	K
odiya	n
odiya	e
odiya	c
odiya	A
odiya	b
odiya	I
odiya	V
odiya	Mr
odiya	the
odiya	f
odiya	s
odiya	Mrs
odiya	Dr
odiya	m
odiya	H
odiya	etc
odiya	T
odiya	br
odiya	in
odiya	o
odiya	g
odiya	G
odiya	t
odiya	Ch
odiya	prof
odiya	##r
odiya	fl
odiya	ad
odiya	ph
odiya	well
odiya	sp
odiya	sh
odiya	/
odiya	of
odiya	no
odiya	F
odiya	.
odiya	al
odiya	Ph
odiya	L
odiya	bl
odiya	app
odiya	,
odiya	ev
odiya	ch
odiya	U
odiya	No
odiya	E
odiya	rev
odiya	##l
odiya	##v
odiya	C
odiya	Ms
odiya	-
odiya	##d
odiya	O
odiya	Sr
odiya	u
odiya	Prof
odiya	dr
odiya	Hon
odiya	q
odiya	Av
odiya	j
odiya	he
odiya	""""
odiya	x
odiya	com
odiya	tr
odiya	Q
odiya	av
odiya	resp
odiya	MM
odiya	Pr
odiya	per
odiya	ks
odiya	LL
odiya	to
odiya	Y
odiya	his
odiya	l
odiya	vol
odiya	Math
odiya	a
odiya	themselves
odiya	children
odiya	people
odiya	students
odiya	workers
odiya	profession
odiya	men
odiya	teachers
odiya	work
odiya	them
odiya	women
odiya	labour
odiya	farmers
odiya	music
odiya	artists
odiya	food
odiya	medium
odiya	actors
odiya	they
odiya	teacher
odiya	family
odiya	worker
odiya	child
odiya	agriculture
odiya	artist
odiya	police
odiya	art
odiya	education
odiya	adults
odiya	jobs
odiya	their
odiya	industry
odiya	social
odiya	employment
odiya	labor
odiya	an
odiya	actor
odiya	young
odiya	civilian
odiya	well
odiya	occupation
odiya	help
odiya	so
odiya	pay
odiya	the
odiya	civilians
odiya	adult
odiya	marriage
odiya	staff
odiya	friends
odiya	in
odiya	etc
odiya	s
odiya	instrument
odiya	k
odiya	householder
odiya	one
odiya	professional
odiya	musicians
odiya	himself
odiya	academic
odiya	prof
odiya	co
odiya	material
odiya	it
odiya	others
odiya	such
odiya	,
odiya	household
odiya	girls
odiya	parents
odiya	as
odiya	village
odiya	individuals
odiya	materials
odiya	this
odiya	D
odiya	sons
odiya	business
odiya	films
odiya	individual
odiya	general
odiya	office
odiya	animals
odiya	subjects
odiya	many
odiya	hospital
odiya	P
odiya	means
odiya	.
odiya	otherwise
odiya	d
odiya	I
odiya	personnel
odiya	i
odiya	either
odiya	herself
odiya	/
odiya	man
odiya	a
odiya	well
odiya	this
odiya	it
odiya	an
odiya	us
odiya	the
odiya	one
odiya	in
odiya	things
odiya	so
odiya	i
odiya	as
odiya	people
odiya	them
odiya	do
odiya	to
odiya	such
odiya	work
odiya	themselves
odiya	on
odiya	many
odiya	of
odiya	all
odiya	you
odiya	good
odiya	means
odiya	that
odiya	they
odiya	me
odiya	fun
odiya	art
odiya	far
odiya	my
odiya	labour
odiya	I
odiya	god
odiya	is
odiya	pain
odiya	help
odiya	u
odiya	and
odiya	hard
odiya	way
odiya	su
odiya	.
odiya	v
odiya	no
odiya	ad
odiya	,
odiya	their
odiya	respect
odiya	man
odiya	etc
odiya	pay
odiya	himself
odiya	everything
odiya	""""
odiya	he
odiya	body
odiya	##i
odiya	his
odiya	time
odiya	saying
odiya	fast
odiya	something
odiya	these
odiya	itself
odiya	ye
odiya	accident
odiya	more
odiya	##ly
odiya	being
odiya	bad
odiya	o
odiya	sh
odiya	above
odiya	if
odiya	s
odiya	force
odiya	p
odiya	we
odiya	money
odiya	done
odiya	-
odiya	br
odiya	k
odiya	office
odiya	d
odiya	she
odiya	for
odiya	day
odiya	love
odiya	capital
odiya	other
odiya	God
odiya	thing
odiya	men
odiya	yet
odiya	are
odiya	well
odiya	a
odiya	themselves
odiya	they
odiya	them
odiya	such
odiya	their
odiya	so
odiya	far
odiya	d
odiya	as
odiya	god
odiya	br
odiya	in
odiya	an
odiya	the
odiya	art
odiya	sh
odiya	food
odiya	many
odiya	fast
odiya	instruments
odiya	this
odiya	ad
odiya	no
odiya	do
odiya	office
odiya	fun
odiya	""""
odiya	teachers
odiya	p
odiya	these
odiya	materials
odiya	v
odiya	subjects
odiya	offices
odiya	/
odiya	things
odiya	music
odiya	labour
odiya	,
odiya	students
odiya	people
odiya	s
odiya	himself
odiya	objects
odiya	medicine
odiya	of
odiya	i
odiya	court
odiya	pre
odiya	it
odiya	us
odiya	ph
odiya	jobs
odiya	de
odiya	medium
odiya	pay
odiya	others
odiya	usual
odiya	ye
odiya	doing
odiya	to
odiya	sons
odiya	more
odiya	.
odiya	young
odiya	money
odiya	profession
odiya	means
odiya	men
odiya	ritual
odiya	artists
odiya	on
odiya	his
odiya	good
odiya	priests
odiya	sac
odiya	g
odiya	su
odiya	##ylum
odiya	works
odiya	payment
odiya	per
odiya	instrument
odiya	work
odiya	sp
odiya	k
odiya	children
odiya	-
odiya	help
odiya	long
odiya	actors
odiya	punishment
odiya	capital
odiya	etc
odiya	##i
odiya	posts
odiya	me
odiya	other
odiya	a
odiya	themselves
odiya	them
odiya	objects
odiya	well
odiya	food
odiya	help
odiya	they
odiya	so
odiya	work
odiya	people
odiya	music
odiya	such
odiya	means
odiya	things
odiya	art
odiya	as
odiya	men
odiya	students
odiya	/
odiya	clothes
odiya	in
odiya	materials
odiya	works
odiya	the
odiya	fun
odiya	teachers
odiya	others
odiya	an
odiya	friends
odiya	children
odiya	instruments
odiya	subjects
odiya	labour
odiya	offices
odiya	their
odiya	books
odiya	prayer
odiya	sh
odiya	women
odiya	police
odiya	d
odiya	papers
odiya	no
odiya	us
odiya	animals
odiya	staff
odiya	this
odiya	,
odiya	office
odiya	artists
odiya	do
odiya	items
odiya	s
odiya	p
odiya	god
odiya	jobs
odiya	himself
odiya	personnel
odiya	""""
odiya	poets
odiya	etc
odiya	sons
odiya	me
odiya	posts
odiya	paintings
odiya	tasks
odiya	medicine
odiya	these
odiya	musicians
odiya	repair
odiya	it
odiya	ritual
odiya	poems
odiya	something
odiya	songs
odiya	pay
odiya	other
odiya	to
odiya	v
odiya	punishment
odiya	.
odiya	monks
odiya	more
odiya	one
odiya	or
odiya	paper
odiya	saying
odiya	actors
odiya	many
odiya	money
odiya	and
odiya	ko
odiya	teaching
odiya	i
odiya	k
odiya	tea
odiya	of
odiya	workers
odiya	ye
odiya	given
odiya	not
odiya	scored
odiya	done
odiya	taken
odiya	of
odiya	performed
odiya	conducted
odiya	made
odiya	released
odiya	in
odiya	written
odiya	known
odiya	a
odiya	published
odiya	.
odiya	also
odiya	awarded
odiya	are
odiya	issued
odiya	scheduled
odiya	held
odiya	produced
odiya	available
odiya	cast
odiya	paid
odiya	directed
odiya	composed
odiya	,
odiya	to
odiya	rendered
odiya	reserved
odiya	the
odiya	them
odiya	be
odiya	called
odiya	used
odiya	registered
odiya	for
odiya	declared
odiya	located
odiya	noti
odiya	and
odiya	by
odiya	engaged
odiya	marked
odiya	pra
odiya	as
odiya	received
odiya	##d
odiya	elected
odiya	Raj
odiya	prof
odiya	village
odiya	found
odiya	organised
odiya	recorded
odiya	present
odiya	played
odiya	appointed
odiya	carried
odiya	set
odiya	lent
odiya	distributed
odiya	completed
odiya	broadcast
odiya	been
odiya	considered
odiya	noted
odiya	celebrated
odiya	reported
odiya	state
odiya	listed
odiya	based
odiya	p
odiya	ruled
odiya	Hindu
odiya	on
odiya	situated
odiya	fixed
odiya	music
odiya	or
odiya	married
odiya	B
odiya	day
odiya	general
odiya	legal
odiya	born
odiya	is
odiya	per
odiya	at
odiya	employed
odiya	selected
odiya	##h
odiya	India
odiya	started
odiya	wise
odiya	##i
odiya	an
odiya	living
odiya	written
odiya	done
odiya	of
odiya	composed
odiya	used
odiya	given
odiya	conducted
odiya	made
odiya	performed
odiya	engaged
odiya	cast
odiya	reserved
odiya	known
odiya	taken
odiya	published
odiya	produced
odiya	scored
odiya	are
odiya	released
odiya	found
odiya	directed
odiya	in
odiya	organised
odiya	people
odiya	sung
odiya	for
odiya	held
odiya	not
odiya	music
odiya	employed
odiya	songs
odiya	spoken
odiya	by
odiya	a
odiya	and
odiya	,
odiya	to
odiya	considered
odiya	Hindu
odiya	educated
odiya	on
odiya	living
odiya	be
odiya	awarded
odiya	religious
odiya	out
odiya	set
odiya	called
odiya	the
odiya	popular
odiya	recorded
odiya	mentioned
odiya	those
odiya	sat
odiya	pra
odiya	available
odiya	.
odiya	paid
odiya	issued
odiya	been
odiya	taught
odiya	scheduled
odiya	based
odiya	killed
odiya	celebrated
odiya	is
odiya	them
odiya	rendered
odiya	fixed
odiya	involved
odiya	dedicated
