Region	StereoType
punjabi	a
punjabi	v
punjabi	p
punjabi	P
punjabi	e
punjabi	k
punjabi	S
punjabi	d
punjabi	D
punjabi	i
punjabi	s
punjabi	J
punjabi	etc
punjabi	R
punjabi	well
punjabi	N
punjabi	n
punjabi	f
punjabi	c
punjabi	M
punjabi	V
punjabi	m
punjabi	I
punjabi	K
punjabi	g
punjabi	b
punjabi	A
punjabi	an
punjabi	ad
punjabi	r
punjabi	the
punjabi	sp
punjabi	H
punjabi	in
punjabi	B
punjabi	t
punjabi	al
punjabi	/
punjabi	G
punjabi	.
punjabi	,
punjabi	bl
punjabi	br
punjabi	sh
punjabi	T
punjabi	E
punjabi	##d
punjabi	Ch
punjabi	o
punjabi	ph
punjabi	fl
punjabi	per
punjabi	Dr
punjabi	vs
punjabi	""""
punjabi	u
punjabi	Mr
punjabi	Mrs
punjabi	##v
punjabi	F
punjabi	L
punjabi	U
punjabi	resp
punjabi	Sr
punjabi	ch
punjabi	no
punjabi	##r
punjabi	prof
punjabi	such
punjabi	tr
punjabi	-
punjabi	dr
punjabi	Ph
punjabi	q
punjabi	of
punjabi	C
punjabi	##t
punjabi	rev
punjabi	pt
punjabi	vol
punjabi	j
punjabi	pr
punjabi	pl
punjabi	##o
punjabi	##vt
punjabi	x
punjabi	ev
punjabi	com
punjabi	l
punjabi	##l
punjabi	Pt
punjabi	co
punjabi	app
punjabi	##m
punjabi	sin
punjabi	and
punjabi	ul
punjabi	##s
punjabi	medium
punjabi	is
punjabi	a
punjabi	people
punjabi	farmers
punjabi	agriculture
punjabi	children
punjabi	workers
punjabi	police
punjabi	so
punjabi	profession
punjabi	themselves
punjabi	social
punjabi	industry
punjabi	village
punjabi	in
punjabi	labour
punjabi	the
punjabi	s
punjabi	teachers
punjabi	their
punjabi	students
punjabi	they
punjabi	men
punjabi	them
punjabi	p
punjabi	farming
punjabi	well
punjabi	work
punjabi	jobs
punjabi	as
punjabi	agricultural
punjabi	villages
punjabi	child
punjabi	food
punjabi	this
punjabi	an
punjabi	education
punjabi	i
punjabi	,
punjabi	women
punjabi	art
punjabi	music
punjabi	business
punjabi	it
punjabi	community
punjabi	worker
punjabi	such
punjabi	film
punjabi	residential
punjabi	district
punjabi	family
punjabi	k
punjabi	artists
punjabi	.
punjabi	road
punjabi	pay
punjabi	films
punjabi	man
punjabi	paper
punjabi	d
punjabi	rural
punjabi	civilian
punjabi	medium
punjabi	textile
punjabi	industrial
punjabi	commerce
punjabi	etc
punjabi	actors
punjabi	fields
punjabi	religious
punjabi	P
punjabi	of
punjabi	professionals
punjabi	Tamil
punjabi	labor
punjabi	transport
punjabi	school
punjabi	teacher
punjabi	government
punjabi	civilians
punjabi	co
punjabi	college
punjabi	brick
punjabi	marriage
punjabi	temple
punjabi	hospital
punjabi	occupation
punjabi	many
punjabi	job
punjabi	general
punjabi	ka
punjabi	young
punjabi	per
punjabi	c
punjabi	help
punjabi	capital
punjabi	pun
punjabi	/
punjabi	housing
punjabi	living
punjabi	factory
punjabi	well
punjabi	a
punjabi	it
punjabi	this
punjabi	so
punjabi	people
punjabi	in
punjabi	the
punjabi	good
punjabi	art
punjabi	man
punjabi	far
punjabi	things
punjabi	work
punjabi	that
punjabi	an
punjabi	as
punjabi	one
punjabi	hard
punjabi	us
punjabi	such
punjabi	god
punjabi	is
punjabi	i
punjabi	of
punjabi	day
punjabi	to
punjabi	fun
punjabi	pun
punjabi	they
punjabi	themselves
punjabi	me
punjabi	s
punjabi	way
punjabi	all
punjabi	help
punjabi	them
punjabi	respect
punjabi	love
punjabi	do
punjabi	my
punjabi	on
punjabi	.
punjabi	,
punjabi	capital
punjabi	money
punjabi	bad
punjabi	many
punjabi	fast
punjabi	God
punjabi	their
punjabi	paper
punjabi	sh
punjabi	he
punjabi	""""
punjabi	you
punjabi	his
punjabi	and
punjabi	su
punjabi	job
punjabi	much
punjabi	food
punjabi	br
punjabi	means
punjabi	v
punjabi	water
punjabi	p
punjabi	labour
punjabi	I
punjabi	thing
punjabi	himself
punjabi	old
punjabi	road
punjabi	police
punjabi	here
punjabi	high
punjabi	always
punjabi	power
punjabi	k
punjabi	pride
punjabi	charity
punjabi	men
punjabi	time
punjabi	lot
punjabi	-
punjabi	pain
punjabi	are
punjabi	place
punjabi	life
punjabi	##i
punjabi	war
punjabi	done
punjabi	we
punjabi	something
punjabi	freedom
punjabi	pay
punjabi	saying
punjabi	him
punjabi	same
punjabi	together
punjabi	well
punjabi	a
punjabi	far
punjabi	they
punjabi	such
punjabi	themselves
punjabi	br
punjabi	fast
punjabi	their
punjabi	so
punjabi	in
punjabi	this
punjabi	them
punjabi	jobs
punjabi	as
punjabi	the
punjabi	food
punjabi	art
punjabi	an
punjabi	agriculture
punjabi	many
punjabi	sh
punjabi	it
punjabi	""""
punjabi	good
punjabi	p
punjabi	capital
punjabi	long
punjabi	d
punjabi	high
punjabi	students
punjabi	irrigation
punjabi	teachers
punjabi	,
punjabi	s
punjabi	farmers
punjabi	people
punjabi	children
punjabi	god
punjabi	brick
punjabi	films
punjabi	medicine
punjabi	police
punjabi	fl
punjabi	fun
punjabi	v
punjabi	better
punjabi	##ylum
punjabi	no
punjabi	much
punjabi	science
punjabi	sp
punjabi	hard
punjabi	compensation
punjabi	office
punjabi	medium
punjabi	court
punjabi	labour
punjabi	/
punjabi	that
punjabi	these
punjabi	both
punjabi	more
punjabi	industry
punjabi	crops
punjabi	bl
punjabi	c
punjabi	music
punjabi	.
punjabi	young
punjabi	higher
punjabi	district
punjabi	bra
punjabi	per
punjabi	of
punjabi	general
punjabi	do
punjabi	follows
punjabi	D
punjabi	profession
punjabi	and
punjabi	red
punjabi	artists
punjabi	paper
punjabi	materials
punjabi	his
punjabi	P
punjabi	help
punjabi	himself
punjabi	workers
punjabi	i
punjabi	same
punjabi	work
punjabi	he
punjabi	sheep
punjabi	sil
punjabi	secondary
punjabi	ph
punjabi	usual
punjabi	things
punjabi	a
punjabi	police
punjabi	themselves
punjabi	well
punjabi	people
punjabi	jobs
punjabi	them
punjabi	students
punjabi	teachers
punjabi	children
punjabi	so
punjabi	they
punjabi	food
punjabi	men
punjabi	such
punjabi	workers
punjabi	art
punjabi	help
punjabi	their
punjabi	farmers
punjabi	in
punjabi	as
punjabi	friends
punjabi	music
punjabi	p
punjabi	work
punjabi	artists
punjabi	the
punjabi	s
punjabi	soldiers
punjabi	musicians
punjabi	this
punjabi	d
punjabi	actors
punjabi	priests
punjabi	women
punjabi	""""
punjabi	,
punjabi	clothes
punjabi	sheep
punjabi	sons
punjabi	labour
punjabi	sh
punjabi	an
punjabi	k
punjabi	villages
punjabi	/
punjabi	it
punjabi	no
punjabi	books
punjabi	things
punjabi	prisoners
punjabi	pun
punjabi	films
punjabi	medicine
punjabi	etc
punjabi	teacher
punjabi	agriculture
punjabi	fun
punjabi	animals
punjabi	profession
punjabi	v
punjabi	doctors
punjabi	sp
punjabi	hospitals
punjabi	staff
punjabi	paper
punjabi	hospital
punjabi	job
punjabi	locals
punjabi	business
punjabi	himself
punjabi	br
punjabi	.
punjabi	charity
punjabi	many
punjabi	poster
punjabi	ka
punjabi	i
punjabi	P
punjabi	brothers
punjabi	social
punjabi	trains
punjabi	do
punjabi	far
punjabi	good
punjabi	civilians
punjabi	others
punjabi	military
punjabi	means
punjabi	singers
punjabi	guru
punjabi	engineers
punjabi	industry
punjabi	money
punjabi	self
punjabi	pi
punjabi	dr
punjabi	his
punjabi	office
punjabi	not
punjabi	played
punjabi	also
punjabi	scored
punjabi	known
punjabi	released
punjabi	made
punjabi	done
punjabi	declared
punjabi	considered
punjabi	used
punjabi	awarded
punjabi	given
punjabi	performed
punjabi	held
punjabi	organised
punjabi	published
punjabi	celebrated
punjabi	conducted
punjabi	are
punjabi	written
punjabi	mainly
punjabi	of
punjabi	in
punjabi	said
punjabi	scheduled
punjabi	found
punjabi	taken
punjabi	music
punjabi	based
punjabi	,
punjabi	the
punjabi	called
punjabi	Hindu
punjabi	Punjab
punjabi	and
punjabi	a
punjabi	.
punjabi	Punjabi
punjabi	issued
punjabi	as
punjabi	marked
punjabi	located
punjabi	noted
punjabi	composed
punjabi	started
punjabi	for
punjabi	listed
punjabi	popular
punjabi	killed
punjabi	produced
punjabi	films
punjabi	situated
punjabi	spoken
punjabi	directed
punjabi	engaged
punjabi	Sikh
punjabi	available
punjabi	reserved
punjabi	India
punjabi	spread
punjabi	sung
punjabi	all
punjabi	elected
punjabi	on
punjabi	songs
punjabi	to
punjabi	pun
punjabi	banned
punjabi	generally
punjabi	only
punjabi	carried
punjabi	is
punjabi	other
punjabi	ruled
punjabi	out
punjabi	Raj
punjabi	born
punjabi	related
punjabi	sports
punjabi	concerned
punjabi	recorded
punjabi	legal
punjabi	decided
punjabi	famous
punjabi	stated
punjabi	prohibited
punjabi	play
punjabi	set
punjabi	cast
punjabi	predominantly
punjabi	reported
punjabi	their
punjabi	important
punjabi	Hindi
punjabi	Rajasthan
punjabi	cricket
punjabi	them
punjabi	settled
punjabi	both
punjabi	used
punjabi	made
punjabi	done
punjabi	known
punjabi	people
punjabi	written
punjabi	Punjabi
punjabi	engaged
punjabi	of
punjabi	played
punjabi	mainly
punjabi	not
punjabi	released
punjabi	cast
punjabi	are
punjabi	composed
punjabi	music
punjabi	conducted
punjabi	given
punjabi	scored
punjabi	considered
punjabi	published
punjabi	found
punjabi	based
punjabi	organised
punjabi	songs
punjabi	Hindu
punjabi	Muslims
punjabi	popular
punjabi	mostly
punjabi	reserved
punjabi	performed
punjabi	in
punjabi	also
punjabi	Muslim
punjabi	Sikh
punjabi	for
punjabi	celebrated
punjabi	employed
punjabi	Punjab
punjabi	and
punjabi	spoken
punjabi	killed
punjabi	awarded
punjabi	sung
punjabi	,
punjabi	predominantly
punjabi	those
punjabi	the
punjabi	educated
punjabi	held
punjabi	living
punjabi	called
punjabi	famous
punjabi	speaking
punjabi	on
punjabi	active
punjabi	men
punjabi	films
punjabi	produced
punjabi	poor
punjabi	out
punjabi	who
punjabi	religious
punjabi	women
punjabi	declared
punjabi	restricted
punjabi	directed
punjabi	noted
punjabi	started
punjabi	recorded
punjabi	a
punjabi	taken
punjabi	settled
punjabi	spread
punjabi	by
punjabi	reported
punjabi	be
punjabi	their
punjabi	banned
punjabi	singing
punjabi	taught
punjabi	been
punjabi	Rajasthan
punjabi	members
punjabi	generally
punjabi	left
punjabi	singers
punjabi	only
punjabi	said
punjabi	populated
punjabi	is
punjabi	live
punjabi	being
punjabi	very
punjabi	with
punjabi	rich
punjabi	.
punjabi	scheduled
punjabi	to
punjabi	known
punjabi	played
punjabi	done
punjabi	made
punjabi	used
punjabi	held
