Religion	StereoType
buddhist	a
buddhist	well
buddhist	v
buddhist	an
buddhist	such
buddhist	""""
buddhist	d
buddhist	the
buddhist	vs
buddhist	-
buddhist	vol
buddhist	whole
buddhist	c
buddhist	in
buddhist	e
buddhist	s
buddhist	.
buddhist	of
buddhist	n
buddhist	bl
buddhist	br
buddhist	trans
buddhist	,
buddhist	sol
buddhist	sp
buddhist	result
buddhist	part
buddhist	no
buddhist	far
buddhist	/
buddhist	per
buddhist	I
buddhist	b
buddhist	m
buddhist	do
buddhist	p
buddhist	as
buddhist	so
buddhist	followed
buddhist	i
buddhist	g
buddhist	J
buddhist	art
buddhist	did
buddhist	follows
buddhist	fl
buddhist	ad
buddhist	medium
buddhist	opposed
buddhist	evidence
buddhist	V
buddhist	f
buddhist	and
buddhist	ph
buddhist	##v
buddhist	can
buddhist	con
buddhist	general
buddhist	##d
buddhist	science
buddhist	##ylum
buddhist	subject
buddhist	r
buddhist	ch
buddhist	t
buddhist	k
buddhist	is
buddhist	tr
buddhist	this
buddhist	;
buddhist	all
buddhist	Pt
buddhist	it
buddhist	yet
buddhist	sin
buddhist	study
buddhist	etc
buddhist	resp
buddhist	background
buddhist	1
buddhist	S
buddhist	to
buddhist	B
buddhist	us
buddhist	many
buddhist	D
buddhist	lit
buddhist	fast
buddhist	ac
buddhist	T
buddhist	pre
buddhist	A
buddhist	II
buddhist	pt
buddhist	P
buddhist	not
buddhist	sub
buddhist	sh
buddhist	student
buddhist	more
buddhist	a
buddhist	art
buddhist	such
buddhist	Buddhist
buddhist	as
buddhist	religion
buddhist	so
buddhist	in
buddhist	well
buddhist	Sanskrit
buddhist	the
buddhist	god
buddhist	an
buddhist	ritual
buddhist	religious
buddhist	spiritual
buddhist	material
buddhist	people
buddhist	food
buddhist	monks
buddhist	this
buddhist	medicine
buddhist	themselves
buddhist	-
buddhist	self
buddhist	child
buddhist	gods
buddhist	one
buddhist	Buddhism
buddhist	God
buddhist	temple
buddhist	s
buddhist	work
buddhist	/
buddhist	objects
buddhist	marriage
buddhist	to
buddhist	do
buddhist	,
buddhist	man
buddhist	science
buddhist	Hindu
buddhist	it
buddhist	Buddha
buddhist	""""
buddhist	of
buddhist	.
buddhist	their
buddhist	they
buddhist	sh
buddhist	punishment
buddhist	body
buddhist	things
buddhist	no
buddhist	emperor
buddhist	capital
buddhist	discipline
buddhist	thing
buddhist	temples
buddhist	object
buddhist	means
buddhist	materials
buddhist	part
buddhist	social
buddhist	p
buddhist	study
buddhist	individual
buddhist	men
