Caste	StereoType
sc/st	well
sc/st	a
sc/st	child
sc/st	such
sc/st	D
sc/st	d
sc/st	teacher
sc/st	in
sc/st	##ylum
sc/st	an
sc/st	as
sc/st	the
sc/st	no
sc/st	usual
sc/st	of
sc/st	P
sc/st	s
sc/st	p
sc/st	person
sc/st	this
sc/st	""""
sc/st	S
sc/st	.
sc/st	children
sc/st	adult
sc/st	##ever
sc/st	Mr
sc/st	,
sc/st	normal
sc/st	Mrs
sc/st	v
sc/st	if
sc/st	Sol
sc/st	professional
sc/st	many
sc/st	old
sc/st	office
sc/st	himself
sc/st	profession
sc/st	R
sc/st	so
sc/st	otherwise
sc/st	medium
sc/st	c
sc/st	/
sc/st	family
sc/st	self
sc/st	student
sc/st	assistant
sc/st	is
sc/st	it
sc/st	dental
sc/st	he
sc/st	though
sc/st	substitute
sc/st	artist
sc/st	part
sc/st	to
sc/st	pupil
sc/st	Dr
sc/st	good
sc/st	etc
sc/st	son
sc/st	en
sc/st	f
sc/st	ad
sc/st	app
sc/st	full
sc/st	people
sc/st	work
sc/st	man
sc/st	o
sc/st	do
sc/st	possible
sc/st	home
sc/st	one
sc/st	T
sc/st	all
sc/st	-
sc/st	follows
sc/st	official
sc/st	worked
sc/st	con
sc/st	clerk
sc/st	they
sc/st	standard
sc/st	primary
sc/st	some
sc/st	general
sc/st	L
sc/st	Clerk
sc/st	did
sc/st	A
sc/st	pub
sc/st	independent
sc/st	sin
sc/st	much
sc/st	appointment
sc/st	g
sc/st	No
sc/st	themselves
sc/st	children
sc/st	students
sc/st	people
sc/st	a
sc/st	teachers
sc/st	such
sc/st	they
sc/st	well
sc/st	s
sc/st	so
sc/st	jobs
sc/st	professionals
sc/st	individuals
sc/st	sons
sc/st	adults
sc/st	slaves
sc/st	as
sc/st	objects
sc/st	friends
sc/st	workers
sc/st	d
sc/st	them
sc/st	documentation
sc/st	subjects
sc/st	/
sc/st	in
sc/st	their
sc/st	English
sc/st	computers
sc/st	materials
sc/st	work
sc/st	otherwise
sc/st	dental
sc/st	this
sc/st	technical
sc/st	use
sc/st	these
sc/st	professional
sc/st	civilians
sc/st	,
sc/st	artists
sc/st	both
sc/st	art
sc/st	the
sc/st	personnel
sc/st	D
sc/st	education
sc/st	child
sc/st	dialects
sc/st	training
sc/st	language
sc/st	engineers
sc/st	men
sc/st	either
sc/st	c
sc/st	immigrants
sc/st	sound
sc/st	speakers
sc/st	musicians
sc/st	help
sc/st	.
sc/st	primary
sc/st	languages
sc/st	profession
sc/st	works
sc/st	residential
sc/st	music
sc/st	p
sc/st	short
sc/st	Teachers
sc/st	""""
sc/st	parents
sc/st	things
sc/st	relatives
sc/st	S
sc/st	informal
sc/st	many
sc/st	employees
sc/st	humans
sc/st	residents
sc/st	volunteers
sc/st	an
sc/st	families
sc/st	self
sc/st	tasks
sc/st	##s
sc/st	do
sc/st	academic
sc/st	fun
sc/st	substitute
sc/st	administrative
sc/st	community
sc/st	schools
sc/st	services
sc/st	prisoners
sc/st	equipment
sc/st	staff
sc/st	usual
sc/st	commercial
sc/st	well
sc/st	in
sc/st	a
sc/st	such
sc/st	sound
sc/st	this
sc/st	things
sc/st	st
sc/st	they
sc/st	as
sc/st	that
sc/st	do
sc/st	so
sc/st	s
sc/st	always
sc/st	verb
sc/st	these
sc/st	the
sc/st	and
sc/st	""""
sc/st	v
sc/st	objects
sc/st	together
sc/st	before
sc/st	an
sc/st	themselves
sc/st	it
sc/st	/
sc/st	i
sc/st	all
sc/st	far
sc/st	same
sc/st	if
sc/st	fun
sc/st	both
sc/st	,
sc/st	us
sc/st	much
sc/st	en
sc/st	sh
sc/st	for
sc/st	e
sc/st	sign
sc/st	long
sc/st	br
sc/st	fast
sc/st	many
sc/st	letters
sc/st	c
sc/st	symbols
sc/st	d
sc/st	short
sc/st	though
sc/st	strings
sc/st	words
sc/st	is
sc/st	case
sc/st	t
sc/st	static
sc/st	follows
sc/st	of
sc/st	p
sc/st	-
sc/st	hard
sc/st	on
sc/st	we
sc/st	language
sc/st	time
sc/st	.
sc/st	to
sc/st	particles
sc/st	w
sc/st	numbers
sc/st	no
sc/st	u
sc/st	above
sc/st	accident
sc/st	pre
sc/st	shape
sc/st	##ever
sc/st	something
sc/st	thing
sc/st	stops
sc/st	them
sc/st	good
sc/st	done
sc/st	g
sc/st	works
sc/st	bad
sc/st	use
sc/st	work
sc/st	result
sc/st	f
sc/st	way
sc/st	their
sc/st	vol
sc/st	two
sc/st	characters
sc/st	stone
sc/st	sounds
sc/st	well
sc/st	such
sc/st	they
sc/st	a
sc/st	so
sc/st	themselves
sc/st	far
sc/st	as
sc/st	both
sc/st	long
sc/st	st
sc/st	fast
sc/st	this
sc/st	in
sc/st	s
sc/st	do
sc/st	much
sc/st	quickly
sc/st	""""
sc/st	many
sc/st	d
sc/st	these
sc/st	that
sc/st	no
sc/st	things
sc/st	if
sc/st	soon
sc/st	v
sc/st	usual
sc/st	/
sc/st	br
sc/st	follows
sc/st	an
sc/st	the
sc/st	their
sc/st	before
sc/st	good
sc/st	same
sc/st	sound
sc/st	effectively
sc/st	pre
sc/st	,
sc/st	it
sc/st	fun
sc/st	jobs
sc/st	though
sc/st	short
sc/st	them
sc/st	sh
sc/st	##ever
sc/st	hard
sc/st	art
sc/st	sl
sc/st	objects
sc/st	slowly
sc/st	and
sc/st	high
sc/st	c
sc/st	materials
sc/st	-
sc/st	needed
sc/st	always
sc/st	early
sc/st	together
sc/st	otherwise
sc/st	students
sc/st	did
sc/st	us
sc/st	slaves
sc/st	quick
sc/st	p
sc/st	bad
sc/st	we
sc/st	better
sc/st	little
sc/st	individuals
sc/st	teachers
sc/st	children
sc/st	yet
sc/st	above
sc/st	normal
sc/st	old
sc/st	sign
sc/st	small
sc/st	either
sc/st	g
sc/st	S
sc/st	accidents
sc/st	.
sc/st	efficient
sc/st	simple
sc/st	done
sc/st	possible
sc/st	people
sc/st	more
sc/st	offices
sc/st	not
sc/st	use
sc/st	of
sc/st	sp
sc/st	well
sc/st	a
sc/st	/
sc/st	sound
sc/st	such
sc/st	s
sc/st	""""
sc/st	as
sc/st	st
sc/st	so
sc/st	in
sc/st	d
sc/st	c
sc/st	words
sc/st	verb
sc/st	both
sc/st	they
sc/st	dialects
sc/st	things
sc/st	letters
sc/st	do
sc/st	stops
sc/st	objects
sc/st	symbols
