Region	StereoType
himachali	a
himachali	P
himachali	p
himachali	d
himachali	D
himachali	k
himachali	R
himachali	teachers
himachali	children
himachali	the
himachali	etc
himachali	well
himachali	v
himachali	c
himachali	in
himachali	K
himachali	S
himachali	farmers
himachali	no
himachali	them
himachali	J
himachali	s
himachali	br
himachali	village
himachali	Dr
himachali	they
himachali	police
himachali	such
himachali	teacher
himachali	g
himachali	,
himachali	.
himachali	G
himachali	f
himachali	their
himachali	labour
himachali	to
himachali	people
himachali	al
himachali	sp
himachali	B
himachali	rev
himachali	workers
himachali	co
himachali	prof
himachali	so
himachali	sh
himachali	as
himachali	students
himachali	V
himachali	Ch
himachali	r
himachali	e
himachali	A
himachali	i
himachali	dr
himachali	profession
himachali	L
himachali	M
himachali	of
himachali	T
himachali	ad
himachali	themselves
himachali	/
himachali	district
himachali	bl
himachali	m
himachali	agriculture
himachali	ph
himachali	women
himachali	N
himachali	land
himachali	an
himachali	b
himachali	I
himachali	fl
himachali	per
himachali	n
himachali	H
himachali	social
himachali	de
himachali	marriage
himachali	o
himachali	work
himachali	No
himachali	seats
himachali	and
himachali	vol
himachali	Mrs
himachali	householder
himachali	Pr
himachali	food
himachali	court
himachali	t
himachali	pay
himachali	many
himachali	villages
himachali	Mr
himachali	Ph
himachali	pl
himachali	children
himachali	workers
himachali	farmers
himachali	people
himachali	teachers
himachali	a
himachali	themselves
himachali	police
himachali	students
himachali	actors
himachali	women
himachali	labour
himachali	them
himachali	men
himachali	agriculture
himachali	work
himachali	civilians
himachali	artists
himachali	they
himachali	professionals
himachali	musicians
himachali	jobs
himachali	films
himachali	well
himachali	priests
himachali	profession
himachali	food
himachali	adults
himachali	villages
himachali	social
himachali	so
himachali	families
himachali	teacher
himachali	their
himachali	relatives
himachali	village
himachali	worker
himachali	labor
himachali	parents
himachali	money
himachali	family
himachali	civilian
himachali	soldiers
himachali	shops
himachali	householder
himachali	the
himachali	households
himachali	farming
himachali	industry
himachali	actor
himachali	animals
himachali	education
himachali	individuals
himachali	staff
himachali	music
himachali	residential
himachali	child
himachali	housing
himachali	tourists
himachali	d
himachali	marriage
himachali	in
himachali	girls
himachali	business
himachali	such
himachali	doctors
himachali	religious
himachali	poor
