Region	StereoType
kashmiri	a
kashmiri	P
kashmiri	p
kashmiri	S
kashmiri	v
kashmiri	D
kashmiri	R
kashmiri	k
kashmiri	J
kashmiri	B
kashmiri	M
kashmiri	K
kashmiri	d
kashmiri	N
kashmiri	s
kashmiri	V
kashmiri	A
kashmiri	etc
kashmiri	i
kashmiri	I
kashmiri	c
kashmiri	m
kashmiri	e
kashmiri	the
kashmiri	r
kashmiri	G
kashmiri	H
kashmiri	b
kashmiri	f
kashmiri	in
kashmiri	n
kashmiri	.
kashmiri	g
kashmiri	br
kashmiri	T
kashmiri	sp
kashmiri	Ch
kashmiri	bl
kashmiri	Dr
kashmiri	C
kashmiri	an
kashmiri	,
kashmiri	/
kashmiri	sh
kashmiri	L
kashmiri	al
kashmiri	t
kashmiri	o
kashmiri	ad
kashmiri	Mr
kashmiri	E
kashmiri	of
kashmiri	-
kashmiri	U
kashmiri	well
kashmiri	Sr
kashmiri	Mrs
kashmiri	F
kashmiri	to
kashmiri	""""
kashmiri	village
kashmiri	u
kashmiri	Ph
kashmiri	no
kashmiri	ph
kashmiri	rev
kashmiri	1
kashmiri	Pr
kashmiri	##d
kashmiri	vs
kashmiri	No
kashmiri	per
kashmiri	W
kashmiri	prof
kashmiri	j
kashmiri	com
kashmiri	children
kashmiri	ev
kashmiri	co
kashmiri	such
kashmiri	O
kashmiri	resp
kashmiri	medium
kashmiri	ch
kashmiri	it
kashmiri	tr
kashmiri	fl
kashmiri	##r
kashmiri	as
kashmiri	this
kashmiri	pr
kashmiri	l
kashmiri	Br
kashmiri	one
kashmiri	people
kashmiri	2
kashmiri	##i
kashmiri	and
kashmiri	child
kashmiri	dr
kashmiri	a
kashmiri	workers
kashmiri	people
kashmiri	themselves
kashmiri	children
kashmiri	labour
kashmiri	farmers
kashmiri	police
kashmiri	work
kashmiri	profession
kashmiri	men
kashmiri	they
kashmiri	women
kashmiri	worker
kashmiri	students
kashmiri	so
kashmiri	food
kashmiri	agriculture
kashmiri	them
kashmiri	teachers
kashmiri	village
kashmiri	child
kashmiri	their
kashmiri	industry
kashmiri	marriage
kashmiri	medium
kashmiri	family
kashmiri	in
kashmiri	well
kashmiri	social
kashmiri	labor
kashmiri	s
kashmiri	jobs
kashmiri	pay
kashmiri	the
kashmiri	as
kashmiri	help
kashmiri	road
kashmiri	an
kashmiri	civilian
kashmiri	hospital
kashmiri	,
kashmiri	business
kashmiri	p
kashmiri	residential
kashmiri	d
kashmiri	this
kashmiri	art
kashmiri	.
kashmiri	k
kashmiri	young
kashmiri	school
kashmiri	factory
kashmiri	man
kashmiri	i
kashmiri	it
kashmiri	education
kashmiri	money
kashmiri	transport
kashmiri	actors
kashmiri	such
kashmiri	brick
kashmiri	paper
kashmiri	many
kashmiri	civilians
kashmiri	occupation
kashmiri	teacher
kashmiri	means
kashmiri	job
kashmiri	/
kashmiri	charity
kashmiri	music
kashmiri	community
kashmiri	householder
kashmiri	co
kashmiri	I
kashmiri	artists
kashmiri	household
kashmiri	me
kashmiri	office
kashmiri	villages
kashmiri	farming
kashmiri	etc
kashmiri	adults
kashmiri	self
kashmiri	instrument
kashmiri	girls
kashmiri	one
kashmiri	film
kashmiri	industrial
kashmiri	P
kashmiri	farmer
kashmiri	assembly
kashmiri	professionals
kashmiri	per
kashmiri	individual
kashmiri	se
kashmiri	professional
kashmiri	materials
kashmiri	land
kashmiri	a
kashmiri	well
kashmiri	this
kashmiri	it
kashmiri	people
kashmiri	man
kashmiri	one
kashmiri	the
kashmiri	in
kashmiri	so
kashmiri	work
kashmiri	an
kashmiri	art
kashmiri	us
kashmiri	good
kashmiri	as
kashmiri	things
kashmiri	help
kashmiri	is
kashmiri	he
kashmiri	i
kashmiri	to
kashmiri	far
kashmiri	hard
kashmiri	I
kashmiri	worker
kashmiri	himself
kashmiri	many
kashmiri	that
kashmiri	s
kashmiri	such
kashmiri	me
kashmiri	.
kashmiri	charity
kashmiri	do
kashmiri	medium
kashmiri	them
kashmiri	you
kashmiri	his
kashmiri	k
kashmiri	of
kashmiri	my
kashmiri	labour
kashmiri	they
kashmiri	sh
kashmiri	themselves
kashmiri	,
kashmiri	means
kashmiri	she
kashmiri	way
kashmiri	police
kashmiri	money
kashmiri	on
kashmiri	thing
kashmiri	fast
kashmiri	day
kashmiri	her
kashmiri	god
kashmiri	men
kashmiri	marriage
kashmiri	job
kashmiri	profession
kashmiri	school
kashmiri	God
kashmiri	accident
kashmiri	him
kashmiri	pay
kashmiri	teacher
kashmiri	road
kashmiri	factory
kashmiri	high
kashmiri	lot
kashmiri	Shiva
kashmiri	bad
kashmiri	-
kashmiri	assembly
kashmiri	time
kashmiri	etc
kashmiri	paper
kashmiri	all
kashmiri	and
kashmiri	we
kashmiri	""""
kashmiri	respect
kashmiri	their
kashmiri	d
kashmiri	here
kashmiri	mine
kashmiri	child
kashmiri	water
kashmiri	fun
kashmiri	whole
kashmiri	love
kashmiri	br
kashmiri	Jain
kashmiri	industry
kashmiri	yet
kashmiri	body
kashmiri	always
kashmiri	Mr
kashmiri	well
kashmiri	themselves
kashmiri	a
kashmiri	they
kashmiri	such
kashmiri	them
kashmiri	far
kashmiri	teachers
kashmiri	their
kashmiri	jobs
kashmiri	so
kashmiri	as
kashmiri	art
kashmiri	sh
kashmiri	people
kashmiri	fast
kashmiri	this
kashmiri	in
kashmiri	many
kashmiri	students
kashmiri	children
kashmiri	an
kashmiri	br
kashmiri	workers
kashmiri	police
kashmiri	the
kashmiri	food
kashmiri	labour
kashmiri	priests
kashmiri	things
kashmiri	""""
kashmiri	d
kashmiri	himself
kashmiri	brick
kashmiri	profession
kashmiri	s
kashmiri	materials
kashmiri	artists
kashmiri	office
kashmiri	,
kashmiri	it
kashmiri	instruments
kashmiri	high
kashmiri	actors
kashmiri	work
kashmiri	money
kashmiri	offices
kashmiri	industry
kashmiri	young
kashmiri	medium
kashmiri	/
kashmiri	women
kashmiri	long
kashmiri	employees
kashmiri	hospitals
kashmiri	films
kashmiri	god
kashmiri	business
kashmiri	do
kashmiri	men
kashmiri	farmers
kashmiri	good
kashmiri	these
kashmiri	fun
kashmiri	help
kashmiri	us
kashmiri	no
kashmiri	charity
kashmiri	clothes
kashmiri	agriculture
kashmiri	court
kashmiri	tal
kashmiri	p
kashmiri	.
kashmiri	per
kashmiri	pay
kashmiri	means
kashmiri	irrigation
kashmiri	capital
kashmiri	sp
kashmiri	bra
kashmiri	to
kashmiri	animals
kashmiri	labor
kashmiri	music
kashmiri	se
kashmiri	of
kashmiri	hard
kashmiri	instrument
kashmiri	works
kashmiri	##ylum
kashmiri	schools
kashmiri	poster
kashmiri	engineers
kashmiri	others
kashmiri	medicine
kashmiri	staff
kashmiri	etc
kashmiri	i
kashmiri	science
kashmiri	a
kashmiri	themselves
kashmiri	police
kashmiri	people
kashmiri	students
kashmiri	help
kashmiri	teachers
kashmiri	them
kashmiri	workers
kashmiri	children
kashmiri	men
kashmiri	well
kashmiri	they
kashmiri	food
kashmiri	women
kashmiri	jobs
kashmiri	friends
kashmiri	so
kashmiri	clothes
kashmiri	work
kashmiri	staff
kashmiri	art
kashmiri	their
kashmiri	music
kashmiri	k
kashmiri	such
kashmiri	d
kashmiri	p
kashmiri	musicians
kashmiri	as
kashmiri	s
kashmiri	labour
kashmiri	in
kashmiri	artists
kashmiri	etc
kashmiri	sh
kashmiri	priests
kashmiri	/
kashmiri	actors
kashmiri	soldiers
kashmiri	the
kashmiri	teacher
kashmiri	himself
kashmiri	,
kashmiri	P
kashmiri	means
kashmiri	sons
kashmiri	things
kashmiri	an
kashmiri	this
kashmiri	.
kashmiri	employees
kashmiri	personnel
kashmiri	hospital
kashmiri	D
kashmiri	no
kashmiri	charity
kashmiri	profession
kashmiri	""""
kashmiri	office
kashmiri	many
kashmiri	farmers
kashmiri	others
kashmiri	girls
kashmiri	shops
kashmiri	us
kashmiri	books
kashmiri	me
kashmiri	I
kashmiri	marriage
kashmiri	repair
kashmiri	doctors
kashmiri	money
kashmiri	animals
kashmiri	sp
kashmiri	pay
kashmiri	v
kashmiri	guru
kashmiri	materials
kashmiri	worker
kashmiri	one
kashmiri	singers
kashmiri	tea
kashmiri	hospitals
kashmiri	works
kashmiri	br
kashmiri	school
kashmiri	paper
kashmiri	engineers
kashmiri	poster
kashmiri	S
kashmiri	it
kashmiri	do
kashmiri	brick
kashmiri	self
kashmiri	medium
kashmiri	business
kashmiri	guests
kashmiri	co
kashmiri	social
kashmiri	not
kashmiri	given
kashmiri	made
kashmiri	done
kashmiri	of
kashmiri	known
kashmiri	released
kashmiri	written
kashmiri	also
kashmiri	taken
kashmiri	a
kashmiri	conducted
kashmiri	called
kashmiri	awarded
kashmiri	performed
kashmiri	scored
kashmiri	elected
kashmiri	issued
kashmiri	published
kashmiri	the
kashmiri	used
kashmiri	in
kashmiri	held
kashmiri	declared
kashmiri	are
kashmiri	engaged
kashmiri	Hindu
kashmiri	scheduled
kashmiri	found
kashmiri	killed
kashmiri	appointed
kashmiri	cast
kashmiri	.
kashmiri	to
kashmiri	paid
kashmiri	Punjab
kashmiri	set
kashmiri	Raj
kashmiri	listed
kashmiri	celebrated
kashmiri	considered
kashmiri	,
kashmiri	located
kashmiri	produced
kashmiri	said
kashmiri	Sikh
kashmiri	them
kashmiri	mentioned
kashmiri	married
kashmiri	legal
kashmiri	be
kashmiri	composed
kashmiri	employed
kashmiri	as
kashmiri	organised
kashmiri	registered
kashmiri	reserved
kashmiri	marked
kashmiri	for
kashmiri	and
kashmiri	directed
kashmiri	noted
kashmiri	played
kashmiri	carried
kashmiri	Punjabi
kashmiri	situated
kashmiri	pra
kashmiri	living
kashmiri	ordained
kashmiri	##d
kashmiri	ruled
kashmiri	India
kashmiri	recorded
kashmiri	educated
kashmiri	general
kashmiri	present
kashmiri	available
kashmiri	concerned
kashmiri	completed
kashmiri	who
kashmiri	their
kashmiri	reported
kashmiri	based
kashmiri	started
kashmiri	selected
kashmiri	Muslim
kashmiri	signed
kashmiri	people
kashmiri	Singh
kashmiri	stated
kashmiri	mainly
kashmiri	rendered
kashmiri	treated
kashmiri	on
kashmiri	described
kashmiri	generally
kashmiri	day
kashmiri	state
kashmiri	trained
kashmiri	named
kashmiri	people
kashmiri	of
kashmiri	cast
kashmiri	engaged
kashmiri	employed
kashmiri	made
kashmiri	given
kashmiri	done
kashmiri	written
kashmiri	not
kashmiri	used
kashmiri	Hindu
kashmiri	conducted
kashmiri	Muslims
kashmiri	are
kashmiri	killed
kashmiri	living
kashmiri	educated
kashmiri	those
kashmiri	women
kashmiri	Sikh
kashmiri	who
kashmiri	men
kashmiri	in
kashmiri	Muslim
kashmiri	known
kashmiri	found
kashmiri	composed
kashmiri	Punjabi
kashmiri	for
kashmiri	released
kashmiri	be
kashmiri	mainly
kashmiri	religious
kashmiri	taken
kashmiri	persons
kashmiri	performed
kashmiri	published
kashmiri	,
kashmiri	members
kashmiri	and
kashmiri	reserved
kashmiri	called
kashmiri	the
kashmiri	organised
kashmiri	working
kashmiri	to
kashmiri	scored
kashmiri	by
kashmiri	involved
kashmiri	a
kashmiri	poor
kashmiri	Punjab
kashmiri	them
kashmiri	based
kashmiri	considered
kashmiri	with
kashmiri	themselves
kashmiri	out
kashmiri	on
kashmiri	held
kashmiri	also
kashmiri	married
kashmiri	paid
kashmiri	mostly
kashmiri	awarded
kashmiri	being
kashmiri	.
kashmiri	Jain
kashmiri	concerned
kashmiri	produced
kashmiri	set
kashmiri	songs
kashmiri	speaking
kashmiri	students
kashmiri	from
kashmiri	elected
kashmiri	live
kashmiri	been
kashmiri	settled
kashmiri	children
kashmiri	active
kashmiri	trained
kashmiri	##s
kashmiri	is
kashmiri	directed
kashmiri	music
kashmiri	aged
kashmiri	left
kashmiri	their
kashmiri	general
kashmiri	affected
kashmiri	mentioned
