Region	StereoType
marathi	a
marathi	P
marathi	N
marathi	S
marathi	D
marathi	M
marathi	V
marathi	R
marathi	J
marathi	v
marathi	p
marathi	B
marathi	e
marathi	well
marathi	A
marathi	n
marathi	I
marathi	an
marathi	etc
marathi	K
marathi	d
marathi	H
marathi	Dr
marathi	Ch
marathi	f
marathi	E
marathi	Ph
marathi	T
marathi	F
marathi	the
marathi	k
marathi	s
marathi	Mrs
marathi	i
marathi	prof
marathi	r
marathi	in
marathi	G
marathi	ph
marathi	m
marathi	Mr
marathi	b
marathi	o
marathi	L
marathi	No
marathi	.
marathi	Pt
marathi	c
marathi	,
marathi	""""
marathi	no
marathi	al
marathi	U
marathi	ad
marathi	O
marathi	fl
marathi	g
marathi	of
marathi	sp
marathi	/
marathi	he
marathi	Sr
marathi	C
marathi	Prof
marathi	##r
marathi	sh
marathi	dr
marathi	Pr
marathi	t
marathi	pt
marathi	such
marathi	-
marathi	br
marathi	is
marathi	and
marathi	II
marathi	l
marathi	bl
marathi	trans
marathi	##d
marathi	resp
marathi	ch
marathi	vol
marathi	she
marathi	Non
marathi	u
marathi	MM
marathi	his
marathi	Hon
marathi	rev
marathi	followed
marathi	W
marathi	sin
marathi	her
marathi	tr
marathi	pr
marathi	j
marathi	Re
marathi	app
marathi	background
marathi	language
marathi	a
marathi	Hindi
marathi	Malayalam
marathi	people
marathi	hindi
marathi	dialect
marathi	English
marathi	in
marathi	the
marathi	Tamil
marathi	medium
marathi	well
marathi	.
marathi	as
marathi	Sanskrit
marathi	s
marathi	themselves
marathi	p
marathi	literary
marathi	,
marathi	literature
marathi	of
marathi	it
marathi	Urdu
marathi	this
marathi	Hindu
marathi	paper
marathi	such
marathi	government
marathi	an
marathi	P
marathi	education
marathi	Assam
marathi	languages
marathi	film
marathi	""""
marathi	Kannada
marathi	literacy
marathi	social
marathi	etc
marathi	k
marathi	children
marathi	dialects
marathi	music
marathi	and
marathi	/
marathi	script
marathi	students
marathi	district
marathi	grammar
marathi	not
marathi	D
marathi	industry
marathi	is
marathi	teachers
marathi	one
marathi	so
marathi	their
marathi	capital
marathi	cinema
marathi	i
marathi	speech
marathi	v
marathi	I
marathi	other
marathi	general
marathi	single
marathi	media
marathi	workers
marathi	Bengali
marathi	means
marathi	written
marathi	are
marathi	art
marathi	M
marathi	many
marathi	college
marathi	A
marathi	that
marathi	political
marathi	they
marathi	audio
marathi	Punjabi
marathi	police
marathi	d
marathi	marriage
marathi	B
marathi	-
marathi	poet
marathi	state
marathi	song
marathi	e
marathi	to
marathi	per
marathi	:
marathi	cast
marathi	freedom
marathi	text
marathi	Muslim
marathi	language
marathi	a
marathi	well
marathi	people
marathi	Hindi
marathi	in
marathi	English
marathi	it
marathi	things
marathi	this
marathi	Malayalam
marathi	the
marathi	an
marathi	is
marathi	of
marathi	languages
marathi	art
marathi	one
marathi	such
marathi	so
marathi	themselves
marathi	Sanskrit
marathi	as
marathi	that
marathi	words
marathi	and
marathi	capital
marathi	dialect
marathi	they
marathi	literature
marathi	man
marathi	good
marathi	word
marathi	thing
marathi	grammar
marathi	far
marathi	are
marathi	us
marathi	culture
marathi	whole
marathi	hindi
marathi	,
marathi	many
marathi	v
marathi	for
marathi	work
marathi	all
marathi	truth
marathi	""""
marathi	education
