Region	StereoType
pahari	a
pahari	P
pahari	p
pahari	k
pahari	D
pahari	d
pahari	v
pahari	R
pahari	K
pahari	the
pahari	S
pahari	c
pahari	B
pahari	J
pahari	A
pahari	Dr
pahari	in
pahari	etc
pahari	s
pahari	M
pahari	i
pahari	V
pahari	N
pahari	I
pahari	G
pahari	Mrs
pahari	.
pahari	children
pahari	al
pahari	Mr
pahari	bl
pahari	T
pahari	Sr
pahari	rev
pahari	br
pahari	pl
pahari	H
pahari	g
pahari	well
pahari	no
pahari	r
pahari	,
pahari	b
pahari	f
pahari	to
pahari	they
pahari	dr
pahari	ad
pahari	L
pahari	t
pahari	of
pahari	sp
pahari	app
pahari	m
pahari	them
pahari	ph
pahari	their
pahari	an
pahari	o
pahari	prof
pahari	/
pahari	Ph
pahari	Ch
pahari	e
pahari	so
pahari	n
pahari	per
pahari	Pr
pahari	profession
pahari	co
pahari	sh
pahari	C
pahari	farmers
pahari	people
pahari	village
pahari	child
pahari	it
pahari	as
pahari	teacher
pahari	W
pahari	fl
pahari	such
pahari	labour
pahari	U
pahari	No
pahari	O
pahari	""""
pahari	teachers
pahari	Rev
pahari	and
pahari	com
pahari	women
pahari	l
pahari	students
pahari	E
pahari	Al
pahari	u
pahari	de
pahari	police
pahari	ev
pahari	a
pahari	themselves
pahari	farmers
pahari	people
pahari	work
pahari	children
pahari	workers
pahari	police
pahari	labour
pahari	they
pahari	profession
pahari	them
pahari	jobs
pahari	students
pahari	agriculture
pahari	men
pahari	food
pahari	so
pahari	their
pahari	householder
pahari	family
pahari	women
pahari	worker
pahari	well
pahari	the
pahari	business
pahari	occupation
pahari	teachers
pahari	man
pahari	residential
pahari	housing
pahari	labor
pahari	families
pahari	k
pahari	medium
pahari	village
pahari	employment
pahari	job
pahari	civilians
pahari	civilian
pahari	p
pahari	in
pahari	farming
pahari	s
pahari	actors
pahari	,
pahari	d
pahari	pay
pahari	.
pahari	shops
pahari	help
pahari	P
pahari	industry
pahari	it
pahari	child
pahari	co
pahari	household
pahari	teacher
pahari	many
pahari	living
pahari	professionals
pahari	parents
pahari	services
pahari	office
pahari	as
pahari	such
pahari	an
pahari	/
pahari	marriage
pahari	community
pahari	means
pahari	husband
pahari	staff
pahari	animals
pahari	music
pahari	dr
pahari	prof
pahari	producers
pahari	fields
pahari	artists
pahari	hospital
pahari	money
pahari	road
pahari	this
pahari	i
pahari	al
pahari	construction
pahari	me
pahari	small
pahari	I
pahari	charity
pahari	social
pahari	farmer
pahari	de
pahari	either
pahari	education
pahari	households
pahari	to
pahari	per
pahari	some
pahari	a
pahari	well
pahari	people
pahari	work
pahari	it
pahari	this
pahari	man
pahari	the
pahari	them
pahari	so
pahari	themselves
pahari	in
pahari	they
pahari	to
pahari	police
pahari	one
pahari	job
pahari	good
pahari	hard
pahari	an
pahari	many
pahari	he
pahari	you
pahari	.
pahari	us
pahari	things
pahari	help
pahari	their
pahari	himself
pahari	P
pahari	labour
pahari	far
pahari	I
pahari	that
pahari	of
pahari	is
pahari	do
pahari	such
pahari	as
pahari	charity
pahari	i
pahari	pay
pahari	his
pahari	jobs
pahari	k
pahari	worker
pahari	office
pahari	,
pahari	are
pahari	p
pahari	fast
pahari	profession
pahari	way
pahari	she
pahari	money
pahari	him
pahari	her
pahari	on
pahari	food
pahari	me
pahari	respect
pahari	Mr
pahari	everyone
pahari	means
pahari	we
pahari	co
pahari	s
pahari	no
pahari	and
pahari	place
pahari	etc
pahari	all
pahari	here
pahari	done
pahari	God
pahari	occupation
pahari	day
pahari	workers
pahari	lot
pahari	men
pahari	medium
pahari	d
pahari	time
pahari	v
pahari	being
pahari	women
pahari	everything
pahari	with
pahari	for
pahari	marriage
pahari	paper
pahari	teacher
pahari	children
pahari	-
pahari	A
pahari	""""
pahari	super
pahari	up
pahari	Man
pahari	business
pahari	well
pahari	a
pahari	themselves
pahari	they
pahari	them
pahari	jobs
pahari	such
pahari	their
pahari	police
pahari	so
pahari	far
pahari	food
pahari	people
pahari	the
pahari	as
pahari	fast
pahari	in
pahari	this
pahari	students
pahari	work
pahari	teachers
pahari	office
pahari	profession
pahari	labour
pahari	farmers
pahari	p
pahari	many
pahari	d
pahari	it
pahari	workers
pahari	sh
pahari	br
pahari	these
pahari	children
pahari	an
pahari	medium
pahari	help
pahari	,
pahari	do
pahari	s
pahari	things
pahari	no
pahari	brick
pahari	means
pahari	to
pahari	materials
pahari	himself
pahari	art
pahari	long
pahari	offices
pahari	medicine
pahari	money
pahari	fun
pahari	actors
pahari	P
pahari	/
pahari	tea
pahari	business
pahari	per
pahari	""""
pahari	pi
pahari	v
pahari	sp
pahari	k
pahari	ph
pahari	doing
pahari	dr
pahari	pay
pahari	hospitals
pahari	sac
pahari	music
pahari	books
pahari	agriculture
pahari	hard
pahari	of
pahari	instruments
pahari	court
pahari	men
pahari	works
pahari	way
pahari	.
pahari	bl
pahari	poster
pahari	good
pahari	industry
pahari	tools
pahari	tal
pahari	women
pahari	charity
pahari	job
pahari	de
pahari	clothes
pahari	i
pahari	function
pahari	animals
pahari	employees
pahari	irrigation
pahari	runners
pahari	films
pahari	other
pahari	a
pahari	themselves
pahari	police
pahari	people
pahari	jobs
pahari	them
pahari	they
pahari	work
pahari	help
pahari	students
pahari	workers
pahari	food
pahari	well
pahari	children
pahari	so
pahari	clothes
pahari	men
pahari	teachers
pahari	friends
pahari	staff
pahari	musicians
pahari	labour
pahari	their
pahari	farmers
pahari	such
pahari	guests
pahari	the
pahari	shops
pahari	women
pahari	job
pahari	actors
pahari	books
pahari	as
pahari	/
pahari	doctors
pahari	d
pahari	personnel
pahari	k
pahari	p
pahari	in
pahari	things
pahari	works
pahari	dr
pahari	himself
pahari	artists
pahari	soldiers
pahari	s
pahari	tools
pahari	office
pahari	,
pahari	means
pahari	music
pahari	others
pahari	services
pahari	animals
pahari	engineers
pahari	business
pahari	guru
pahari	paper
pahari	teacher
pahari	etc
pahari	.
pahari	employees
pahari	worked
pahari	no
pahari	offices
pahari	ph
pahari	man
pahari	some
pahari	posts
pahari	to
pahari	singers
pahari	sh
pahari	either
pahari	officers
pahari	P
pahari	hospital
pahari	many
pahari	pa
pahari	co
pahari	sp
pahari	an
pahari	it
pahari	this
pahari	locals
pahari	do
pahari	me
pahari	trains
pahari	tasks
pahari	papers
pahari	money
pahari	training
pahari	charity
pahari	profession
pahari	worker
pahari	objects
pahari	civilians
pahari	art
pahari	someone
pahari	herself
pahari	not
pahari	given
pahari	of
pahari	also
pahari	taken
pahari	are
pahari	done
pahari	conducted
pahari	known
pahari	made
pahari	elected
pahari	awarded
pahari	scored
pahari	engaged
pahari	called
pahari	.
pahari	in
pahari	released
pahari	them
pahari	written
pahari	Punjab
pahari	published
pahari	married
pahari	a
pahari	paid
pahari	Hindu
pahari	registered
pahari	listed
pahari	scheduled
pahari	cast
pahari	the
pahari	Raj
pahari	issued
pahari	to
pahari	,
pahari	appointed
pahari	available
pahari	declared
pahari	performed
pahari	living
pahari	held
pahari	be
pahari	for
pahari	Punjabi
pahari	reserved
pahari	Muslim
pahari	noti
pahari	as
pahari	employed
pahari	used
pahari	located
pahari	organised
pahari	Sikh
pahari	carried
pahari	village
pahari	who
pahari	by
pahari	and
pahari	Muslims
pahari	reported
pahari	educated
pahari	set
pahari	prof
pahari	affiliated
pahari	India
pahari	is
pahari	composed
pahari	people
pahari	their
pahari	##d
pahari	men
pahari	found
pahari	killed
pahari	pra
pahari	Bihar
pahari	Syed
pahari	on
pahari	started
pahari	completed
pahari	aged
pahari	Singh
pahari	said
pahari	produced
pahari	directed
pahari	concerned
pahari	fixed
pahari	right
pahari	celebrated
pahari	mainly
pahari	persons
pahari	situated
pahari	selected
pahari	played
pahari	wise
pahari	de
pahari	named
pahari	Raja
pahari	day
pahari	considered
pahari	here
pahari	cast
pahari	of
pahari	people
pahari	engaged
pahari	given
pahari	conducted
pahari	done
pahari	employed
pahari	Muslims
pahari	Hindu
pahari	are
pahari	used
pahari	Muslim
pahari	living
pahari	not
pahari	made
pahari	written
pahari	educated
pahari	Punjabi
pahari	Sikh
pahari	for
pahari	in
pahari	women
pahari	known
pahari	who
pahari	reserved
pahari	those
pahari	religious
pahari	men
pahari	taken
pahari	composed
pahari	organised
pahari	killed
pahari	them
pahari	,
pahari	by
pahari	found
pahari	performed
pahari	married
pahari	and
pahari	working
pahari	mainly
pahari	scored
pahari	published
pahari	be
pahari	called
pahari	paid
pahari	children
pahari	Punjab
pahari	to
pahari	themselves
pahari	with
pahari	out
pahari	on
pahari	released
pahari	the
pahari	also
pahari	.
pahari	Raj
pahari	persons
pahari	aged
pahari	poor
pahari	live
pahari	a
pahari	awarded
pahari	households
pahari	mostly
pahari	members
pahari	held
pahari	based
pahari	is
pahari	involved
pahari	disabled
pahari	being
pahari	set
pahari	elected
pahari	services
pahari	speaking
pahari	fixed
pahari	carried
pahari	##s
pahari	reported
pahari	considered
pahari	work
pahari	were
pahari	produced
pahari	their
pahari	trained
pahari	located
pahari	been
pahari	popular
pahari	started
pahari	students
pahari	available
pahari	as
pahari	dedicated
pahari	sat
pahari	settled
pahari	or
pahari	worked
pahari	known
pahari	called
pahari	done
pahari	made
pahari	given
pahari	held
pahari	conducted
pahari	to
pahari	also
pahari	taken
pahari	used
pahari	engaged
pahari	not
pahari	living
pahari	a
pahari	in
pahari	organised
pahari	very
pahari	located
pahari	married
pahari	reserved
pahari	mentioned
pahari	performed
pahari	written
pahari	found
pahari	been
pahari	of
pahari	the
pahari	awarded
pahari	present
pahari	available
pahari	situated
pahari	are
pahari	,
pahari	considered
pahari	treated
pahari	marked
pahari	be
pahari	.
pahari	carried
pahari	by
pahari	dedicated
pahari	released
pahari	for
pahari	said
pahari	registered
pahari	started
pahari	set
pahari	pra
pahari	published
pahari	working
pahari	Raj
pahari	elected
pahari	played
pahari	concerned
pahari	on
pahari	them
pahari	with
pahari	being
pahari	followed
pahari	affiliated
pahari	only
pahari	as
pahari	noted
pahari	retired
pahari	and
pahari	paid
pahari	appointed
pahari	declared
pahari	out
pahari	directed
pahari	worked
pahari	right
pahari	celebrated
pahari	posted
pahari	always
pahari	fixed
pahari	popular
pahari	composed
pahari	is
pahari	issued
pahari	offered
