Region	StereoType
tripuri	a
tripuri	well
tripuri	p
tripuri	the
tripuri	in
tripuri	P
tripuri	v
tripuri	such
tripuri	of
tripuri	d
tripuri	s
tripuri	k
tripuri	an
tripuri	sp
tripuri	etc
tripuri	so
tripuri	this
tripuri	D
tripuri	c
tripuri	it
tripuri	S
tripuri	""""
tripuri	.
tripuri	no
tripuri	as
tripuri	/
tripuri	,
tripuri	A
tripuri	per
tripuri	i
tripuri	to
tripuri	R
tripuri	K
tripuri	M
tripuri	B
tripuri	t
tripuri	is
tripuri	N
tripuri	I
tripuri	V
tripuri	r
tripuri	m
tripuri	b
tripuri	e
tripuri	br
tripuri	-
tripuri	:
tripuri	art
tripuri	al
tripuri	n
tripuri	vol
tripuri	medium
tripuri	not
tripuri	part
tripuri	T
tripuri	vs
tripuri	sh
tripuri	instrument
tripuri	G
tripuri	J
tripuri	g
tripuri	far
tripuri	resp
tripuri	co
tripuri	one
tripuri	f
tripuri	bl
tripuri	that
tripuri	people
tripuri	language
tripuri	fl
tripuri	and
tripuri	music
tripuri	ad
tripuri	com
tripuri	on
tripuri	more
tripuri	village
tripuri	compensation
tripuri	their
tripuri	separate
tripuri	follows
tripuri	do
tripuri	all
tripuri	for
tripuri	o
tripuri	land
tripuri	marriage
tripuri	themselves
tripuri	place
tripuri	Hindi
tripuri	profession
tripuri	food
tripuri	w
tripuri	god
tripuri	result
tripuri	de
tripuri	ph
tripuri	H
tripuri	district
tripuri	a
tripuri	people
tripuri	themselves
tripuri	students
tripuri	art
tripuri	children
tripuri	artists
tripuri	music
tripuri	work
tripuri	agriculture
tripuri	musicians
tripuri	well
tripuri	farmers
tripuri	women
tripuri	teachers
tripuri	so
tripuri	workers
tripuri	profession
tripuri	such
tripuri	men
tripuri	trip
tripuri	artist
tripuri	police
tripuri	civilians
tripuri	them
tripuri	labour
tripuri	they
tripuri	teacher
tripuri	family
tripuri	man
tripuri	musician
tripuri	academic
tripuri	the
tripuri	food
tripuri	s
tripuri	marriage
tripuri	professionals
tripuri	occupation
tripuri	in
tripuri	friends
tripuri	their
tripuri	it
tripuri	religious
tripuri	military
tripuri	soldiers
tripuri	business
tripuri	,
tripuri	civilian
tripuri	engineer
tripuri	dance
tripuri	industry
tripuri	professional
tripuri	farming
tripuri	adults
tripuri	simple
tripuri	living
tripuri	/
tripuri	child
tripuri	painter
tripuri	this
tripuri	worker
tripuri	jobs
tripuri	village
tripuri	.
tripuri	medium
tripuri	co
tripuri	residential
tripuri	community
tripuri	job
tripuri	education
tripuri	p
tripuri	social
tripuri	writer
tripuri	P
tripuri	road
tripuri	actor
tripuri	sp
tripuri	k
tripuri	otherwise
tripuri	metal
tripuri	young
tripuri	actors
tripuri	technical
tripuri	arti
tripuri	etc
tripuri	soldier
