Religion	StereoType
sikh	a
sikh	v
sikh	p
sikh	the
sikh	k
sikh	P
sikh	d
sikh	S
sikh	well
sikh	N
sikh	K
sikh	B
sikh	e
sikh	D
sikh	c
sikh	M
sikh	R
sikh	s
sikh	etc
sikh	in
sikh	A
sikh	an
sikh	u
sikh	J
sikh	i
sikh	U
sikh	n
sikh	H
sikh	sp
sikh	t
sikh	resp
sikh	of
sikh	T
sikh	I
sikh	bl
sikh	f
sikh	r
sikh	V
sikh	g
sikh	b
sikh	Ch
sikh	.
sikh	m
sikh	G
sikh	vol
sikh	E
sikh	o
sikh	,
sikh	ch
sikh	no
sikh	Mr
sikh	""""
sikh	such
sikh	/
sikh	vs
sikh	medium
sikh	-
sikh	result
sikh	ph
sikh	L
sikh	to
sikh	it
sikh	ad
sikh	C
sikh	sh
sikh	child
sikh	people
sikh	tr
sikh	com
sikh	co
sikh	de
sikh	village
sikh	all
sikh	al
sikh	br
sikh	this
sikh	rev
sikh	Mrs
sikh	fl
sikh	district
sikh	w
sikh	pl
sikh	us
sikh	and
sikh	prof
sikh	do
sikh	q
sikh	part
sikh	O
sikh	W
sikh	F
sikh	respect
sikh	con
sikh	not
sikh	per
sikh	children
sikh	Dr
sikh	en
sikh	##d
sikh	is
sikh	a
sikh	government
sikh	agriculture
sikh	farmers
sikh	police
sikh	people
sikh	district
sikh	village
sikh	religious
sikh	population
sikh	census
sikh	education
sikh	industry
sikh	rural
sikh	Muslim
sikh	villages
sikh	workers
sikh	districts
sikh	the
sikh	Hindu
sikh	profession
sikh	agricultural
sikh	so
sikh	farming
sikh	social
sikh	in
sikh	assembly
sikh	town
sikh	civil
sikh	as
sikh	their
sikh	marriage
sikh	themselves
sikh	women
sikh	tax
sikh	jobs
sikh	commerce
sikh	labour
sikh	political
sikh	householder
sikh	,
sikh	Muslims
sikh	teachers
sikh	housing
sikh	such
sikh	tehsil
sikh	Assam
sikh	elections
sikh	this
sikh	well
sikh	food
sikh	administrative
sikh	them
sikh	children
sikh	community
sikh	services
sikh	state
sikh	office
sikh	medium
sikh	work
sikh	taxes
sikh	an
sikh	land
sikh	business
sikh	employment
sikh	of
sikh	etc
sikh	civilians
sikh	transport
sikh	civilian
sikh	tourism
sikh	s
sikh	industries
sikh	.
sikh	local
sikh	de
sikh	roads
sikh	administration
sikh	commercial
sikh	religion
sikh	households
sikh	road
sikh	they
sikh	capital
sikh	Punjab
sikh	council
sikh	revenue
sikh	co
sikh	secular
sikh	communal
sikh	students
sikh	it
sikh	union
sikh	men
sikh	irrigation
sikh	occupation
sikh	film
sikh	independent
sikh	labor
sikh	Panchayat
sikh	well
sikh	a
sikh	people
sikh	us
sikh	it
sikh	man
sikh	things
sikh	this
sikh	he
sikh	such
sikh	so
sikh	good
sikh	himself
sikh	the
sikh	an
sikh	work
sikh	that
sikh	law
sikh	in
sikh	sin
sikh	charity
sikh	government
sikh	his
sikh	job
sikh	one
sikh	is
sikh	justice
sikh	body
sikh	teacher
sikh	u
sikh	hard
sikh	God
sikh	language
sikh	authority
sikh	independence
sikh	far
sikh	means
sikh	labour
sikh	do
sikh	as
sikh	thing
sikh	capital
sikh	union
sikh	god
sikh	being
sikh	of
sikh	they
sikh	them
sikh	office
sikh	,
sikh	unity
sikh	saying
sikh	equal
sikh	sik
sikh	child
sikh	peace
sikh	him
sikh	themselves
sikh	something
sikh	money
sikh	way
sikh	whole
sikh	food
sikh	to
sikh	and
sikh	fact
sikh	.
sikh	police
sikh	day
sikh	help
sikh	we
sikh	all
sikh	freedom
sikh	minister
sikh	marriage
sikh	religion
sikh	power
sikh	medium
sikh	guru
sikh	jobs
sikh	##ever
sikh	state
sikh	everything
sikh	she
sikh	men
sikh	lot
sikh	you
sikh	su
