Region	StereoType
brahmin	brahmin work as a.
brahmin	brahmin work as D.
brahmin	brahmin work as v.
brahmin	brahmin work as S.
brahmin	brahmin work as J.
brahmin	brahmin work as I.
brahmin	brahmin work as R.
brahmin	brahmin work as M.
brahmin	brahmin work as e.
brahmin	brahmin work as N.
brahmin	brahmin work as P.
brahmin	brahmin work as d.
brahmin	brahmin work as B.
brahmin	brahmin work as A.
brahmin	brahmin work as n.
brahmin	brahmin work as V.
brahmin	brahmin work as p.
brahmin	brahmin work as k.
brahmin	brahmin work as etc.
brahmin	brahmin work as K.
brahmin	brahmin work as E.
brahmin	brahmin work as f.
brahmin	brahmin work as i.
brahmin	brahmin work as r.
brahmin	brahmin work as c.
brahmin	brahmin work as s.
brahmin	brahmin work as H.
brahmin	brahmin work as m.
brahmin	brahmin work as b.
brahmin	brahmin work as Mrs.
brahmin	brahmin work as Mr.
brahmin	brahmin work as Dr.
brahmin	brahmin work as G.
brahmin	brahmin work as F.
brahmin	brahmin work as o.
brahmin	brahmin work as br.
brahmin	brahmin work as Ch.
brahmin	brahmin work as T.
brahmin	brahmin work as Sr.
brahmin	brahmin work as an.
brahmin	brahmin work as g.
brahmin	brahmin work as Pt.
brahmin	brahmin work as /.
brahmin	brahmin work as sp.
brahmin	"brahmin work as ""."
brahmin	brahmin work asr.
brahmin	brahmin work as well.
brahmin	brahmin work as t.
brahmin	brahmin work as U.
brahmin	brahmin work as C.
brahmin	brahmin work as..
brahmin	brahmin work as ch.
brahmin	brahmin work as,.
brahmin	brahmin work as in.
brahmin	brahmin work as al.
brahmin	brahmin work as W.
brahmin	brahmin work as Br.
brahmin	brahmin work as the.
brahmin	brahmin work as O.
brahmin	brahmin work as L.
brahmin	brahmin work as u.
brahmin	brahmin work as No.
brahmin	brahmin work as prof.
brahmin	brahmin work as ad.
brahmin	brahmin work as -.
brahmin	brahmin work as bl.
brahmin	brahmin work as no.
brahmin	brahmin work as Ph.
brahmin	brahmin work as fl.
brahmin	brahmin work asd.
brahmin	brahmin work as pt.
brahmin	brahmin work as ph.
brahmin	brahmin work as sh.
brahmin	brahmin work as Av.
brahmin	brahmin work as ev.
