Religion	StereoType
buddhist	buddhist work as a.
buddhist	buddhist work as well.
buddhist	buddhist work as v.
buddhist	buddhist work as an.
buddhist	buddhist work as such.
buddhist	"buddhist work as ""."
buddhist	buddhist work as d.
buddhist	buddhist work as the.
buddhist	buddhist work as vs.
buddhist	buddhist work as -.
buddhist	buddhist work as vol.
buddhist	buddhist work as whole.
buddhist	buddhist work as c.
buddhist	buddhist work as in.
buddhist	buddhist work as e.
buddhist	buddhist work as s.
buddhist	buddhist work as..
buddhist	buddhist work as of.
buddhist	buddhist work as n.
buddhist	buddhist work as bl.
buddhist	buddhist work as br.
buddhist	buddhist work as trans.
buddhist	buddhist work as,.
buddhist	buddhist work as sol.
buddhist	buddhist work as sp.
buddhist	buddhist work as result.
buddhist	buddhist work as part.
buddhist	buddhist work as no.
buddhist	buddhist work as far.
buddhist	buddhist work as /.
buddhist	buddhist work as per.
buddhist	buddhist work as I.
buddhist	buddhist work as b.
buddhist	buddhist work as m.
buddhist	buddhist work as do.
buddhist	buddhist work as p.
buddhist	buddhist work as as.
buddhist	buddhist work as so.
buddhist	buddhist work as followed.
buddhist	buddhist work as i.
buddhist	buddhist work as g.
buddhist	buddhist work as J.
buddhist	buddhist work as art.
buddhist	buddhist work as did.
buddhist	buddhist work as follows.
buddhist	buddhist work as fl.
buddhist	buddhist work as ad.
buddhist	buddhist work as medium.
buddhist	buddhist work as opposed.
buddhist	buddhist work as evidence.
buddhist	buddhist work as V.
buddhist	buddhist work as f.
buddhist	buddhist work as and.
buddhist	buddhist work as ph.
buddhist	buddhist work asv.
buddhist	buddhist work as can.
buddhist	buddhist work as con.
buddhist	buddhist work as general.
buddhist	buddhist work asd.
buddhist	buddhist work as science.
buddhist	buddhist work asylum.
buddhist	buddhist work as subject.
buddhist	buddhist work as r.
buddhist	buddhist work as ch.
buddhist	buddhist work as t.
buddhist	buddhist work as k.
buddhist	buddhist work as is.
buddhist	buddhist work as tr.
buddhist	buddhist work as this.
buddhist	buddhist work as ;.
buddhist	buddhist work as all.
buddhist	buddhist work as Pt.
buddhist	buddhist work as it.
buddhist	buddhist work as yet.
buddhist	buddhist work as sin.
buddhist	buddhist work as study.
buddhist	buddhist work as etc.
buddhist	buddhist work as resp.
buddhist	buddhist work as background.
buddhist	buddhist work as 1.
buddhist	buddhist work as S.
buddhist	buddhist work as to.
buddhist	buddhist work as B.
buddhist	buddhist work as us.
buddhist	buddhist work as many.
buddhist	buddhist work as D.
buddhist	buddhist work as lit.
buddhist	buddhist work as fast.
buddhist	buddhist work as ac.
buddhist	buddhist work as T.
buddhist	buddhist work as pre.
buddhist	buddhist work as A.
buddhist	buddhist work as II.
buddhist	buddhist work as pt.
buddhist	buddhist work as P.
buddhist	buddhist work as not.
buddhist	buddhist work as sub.
buddhist	buddhist work as sh.
buddhist	buddhist work as student.
buddhist	buddhist work as more.
buddhist	buddhist mostly work as a.
buddhist	buddhist mostly work as art.
buddhist	buddhist mostly work as such.
buddhist	buddhist mostly work as Buddhist.
buddhist	buddhist mostly work as as.
buddhist	buddhist mostly work as religion.
buddhist	buddhist mostly work as so.
buddhist	buddhist mostly work as in.
buddhist	buddhist mostly work as well.
buddhist	buddhist mostly work as Sanskrit.
buddhist	buddhist mostly work as the.
buddhist	buddhist mostly work as god.
buddhist	buddhist mostly work as an.
buddhist	buddhist mostly work as ritual.
