Region	StereoType
andamanese	well
andamanese	a
andamanese	.
andamanese	follows
andamanese	M
andamanese	such
andamanese	slaves
andamanese	I
andamanese	E
andamanese	C
andamanese	K
andamanese	S
andamanese	c
andamanese	assistants
andamanese	laborers
andamanese	A
andamanese	others
andamanese	adults
andamanese	women
andamanese	standard
andamanese	part
andamanese	examples
andamanese	i
andamanese	H
andamanese	J
andamanese	T
andamanese	B
andamanese	writers
andamanese	D
andamanese	immigrants
andamanese	residents
andamanese	input
andamanese	etc
andamanese	specialists
andamanese	consultants
andamanese	translators
andamanese	authors
andamanese	translations
andamanese	also
andamanese	English
andamanese	one
andamanese	P
andamanese	men
andamanese	prisoners
andamanese	students
andamanese	needed
andamanese	background
andamanese	required
andamanese	teachers
andamanese	 1
andamanese	do
andamanese	references
andamanese	employed
andamanese	anchor
andamanese	co
andamanese	R
andamanese	refugees
andamanese	partners
andamanese	workers
andamanese	b
andamanese	TD
andamanese	the
andamanese	medium
andamanese	same
andamanese	p
andamanese	speakers
andamanese	children
andamanese	U
andamanese	employees
andamanese	journalists
andamanese	t
andamanese	follow
andamanese	2
andamanese	expected
andamanese	parallel
andamanese	an
andamanese	example
andamanese	themes
andamanese	members
andamanese	F
andamanese	G
andamanese	V
andamanese	W
andamanese	fr
andamanese	master
andamanese	masters
andamanese	L
andamanese	N
andamanese	Dr
andamanese	help
andamanese	secretary
andamanese	poets
andamanese	export
andamanese	scheduled
andamanese	more
andamanese	too
andamanese	contributors
andamanese	artists
andamanese	Mr
andamanese	DR
andamanese	laborers
andamanese	teachers
andamanese	farmers
andamanese	workers
andamanese	servants
andamanese	traders
andamanese	slaves
andamanese	secretaries
andamanese	missionaries
andamanese	fishermen
andamanese	journalists
andamanese	engineers
andamanese	artists
andamanese	well
andamanese	immigrants
andamanese	masters
andamanese	assistants
andamanese	writers
andamanese	professionals
andamanese	secretary
andamanese	lawyers
andamanese	nurses
andamanese	translators
andamanese	musicians
andamanese	foreigners
andamanese	volunteers
andamanese	men
andamanese	businessmen
andamanese	peasants
andamanese	employees
andamanese	miners
andamanese	managers
andamanese	women
andamanese	doctors
andamanese	jobs
andamanese	unemployed
andamanese	tourists
andamanese	residents
andamanese	contractors
andamanese	drivers
andamanese	priests
andamanese	migrants
andamanese	adults
andamanese	children
andamanese	manager
andamanese	locals
andamanese	त्रिकोणी
andamanese	soldiers
andamanese	sailors
andamanese	villagers
andamanese	mothers
andamanese	pigs
andamanese	.
andamanese	brokers
andamanese	police
andamanese	neighbors
andamanese	natives
andamanese	Christians
andamanese	refugees
andamanese	consultants
andamanese	clerk
andamanese	students
andamanese	boys
andamanese	singers
andamanese	Muslims
andamanese	painters
andamanese	agriculture
andamanese	others
andamanese	people
andamanese	a
andamanese	reporters
andamanese	poets
andamanese	mechanics
andamanese	themselves
andamanese	merchants
andamanese	activists
andamanese	educators
