Region	StereoType
arunachali	teachers
arunachali	M
arunachali	secretary
arunachali	a
arunachali	writers
arunachali	well
arunachali	women
arunachali	K
arunachali	authors
arunachali	D
arunachali	Dr
arunachali	students
arunachali	poets
arunachali	I
arunachali	A
arunachali	others
arunachali	.
arunachali	T
arunachali	Mr
arunachali	C
arunachali	B
arunachali	p
arunachali	secretaries
arunachali	artists
arunachali	Mrs
arunachali	P
arunachali	E
arunachali	L
arunachali	J
arunachali	etc
arunachali	journalists
arunachali	c
arunachali	S
arunachali	N
arunachali	H
arunachali	R
arunachali	t
arunachali	U
arunachali	teacher
arunachali	G
arunachali	the
arunachali	i
arunachali	b
arunachali	DR
arunachali	mothers
arunachali	r
arunachali	professor
arunachali	masters
arunachali	W
arunachali	people
arunachali	laborers
arunachali	workers
arunachali	editor
arunachali	translators
arunachali	writer
arunachali	men
arunachali	director
arunachali	translator
arunachali	editors
arunachali	refugees
arunachali	O
arunachali	pp
arunachali	such
arunachali	academics
arunachali	activists
arunachali	scholars
arunachali	one
arunachali	directors
arunachali	traders
arunachali	s
arunachali	members
arunachali	journalist
arunachali	singers
arunachali	educators
arunachali	nurses
arunachali	priests
arunachali	poet
arunachali	k
arunachali	researchers
arunachali	minister
arunachali	V
arunachali	art
arunachali	speakers
arunachali	president
arunachali	Prof
arunachali	an
arunachali	farmers
arunachali	employees
arunachali	historians
arunachali	musicians
arunachali	engineers
arunachali	immigrants
arunachali	architects
arunachali	clerk
arunachali	books
arunachali	assistants
arunachali	manager
arunachali	Y
arunachali	girls
arunachali	self
arunachali	laborers
arunachali	teachers
arunachali	farmers
arunachali	traders
arunachali	secretary
arunachali	engineers
arunachali	workers
arunachali	doctors
arunachali	writers
arunachali	agriculture
arunachali	women
arunachali	a
arunachali	artists
arunachali	lawyers
arunachali	secretaries
arunachali	police
arunachali	teacher
arunachali	clerk
arunachali	professionals
arunachali	mothers
arunachali	.
arunachali	employees
arunachali	students
arunachali	jobs
arunachali	educators
arunachali	people
arunachali	well
arunachali	profession
arunachali	villagers
arunachali	unemployed
arunachali	journalists
arunachali	peasants
arunachali	slaves
arunachali	musicians
arunachali	businessmen
arunachali	missionaries
arunachali	masters
arunachali	nurses
arunachali	men
arunachali	tribals
arunachali	miners
arunachali	fishermen
arunachali	immigrants
arunachali	business
arunachali	servants
arunachali	drivers
arunachali	refugees
arunachali	activists
arunachali	farmer
arunachali	doctor
arunachali	manager
arunachali	intellectuals
arunachali	others
arunachali	priests
arunachali	singers
arunachali	painters
arunachali	girls
arunachali	Christians
arunachali	academics
arunachali	accountant
arunachali	migrant
arunachali	farming
arunachali	housewife
arunachali	professional
arunachali	engineer
arunachali	volunteers
arunachali	mechanics
arunachali	entrepreneurs
arunachali	soldiers
arunachali	authors
arunachali	poets
arunachali	minister
arunachali	boys
arunachali	children
arunachali	officials
arunachali	translators
arunachali	locals
arunachali	Muslims
arunachali	parents
arunachali	speakers
arunachali	vendors
arunachali	themselves
arunachali	them
arunachali	sisters
arunachali	the
arunachali	ಶಿಕ್ಷಕರ
arunachali	migrants
arunachali	rebels
arunachali	त्रिकोणी
arunachali	ministers
arunachali	couple
arunachali	residents
arunachali	they
arunachali	family
arunachali	jute
arunachali	editors
arunachali	warriors
arunachali	lawyer
arunachali	neighbors
arunachali	an
arunachali	well
arunachali	friends
arunachali	one
arunachali	such
arunachali	teachers
arunachali	good
arunachali	standard
arunachali	a
arunachali	writers
arunachali	same
arunachali	leader
arunachali	normal
arunachali	expected
arunachali	usual
arunachali	.
arunachali	people
arunachali	professional
arunachali	leaders
arunachali	Hindi
arunachali	champions
arunachali	volunteers
arunachali	talent
arunachali	someone
arunachali	women
arunachali	students
arunachali	experts
arunachali	masters
arunachali	rebels
arunachali	others
arunachali	engineers
arunachali	English
arunachali	laborers
arunachali	Telugu
arunachali	best
arunachali	guides
arunachali	artists
arunachali	pure
arunachali	themselves
arunachali	self
arunachali	speakers
arunachali	manager
arunachali	always
arunachali	president
arunachali	translators
arunachali	slaves
arunachali	saying
arunachali	home
arunachali	I
arunachali	team
arunachali	master
arunachali	farmers
arunachali	words
arunachali	gentleman
arunachali	poets
arunachali	follows
arunachali	heroes
