Region	StereoType
assamese	well
assamese	a
assamese	M
assamese	c
assamese	I
assamese	secretary
assamese	Mr
assamese	K
assamese	.
assamese	p
assamese	etc
assamese	i
assamese	T
assamese	S
assamese	D
assamese	teachers
assamese	E
assamese	Mrs
assamese	A
assamese	C
assamese	medium
assamese	master
assamese	H
assamese	such
assamese	translator
assamese	B
assamese	others
assamese	P
assamese	Dr
assamese	follows
assamese	part
assamese	profession
assamese	J
assamese	L
assamese	b
assamese	editor
assamese	co
assamese	students
assamese	R
assamese	assistant
assamese	background
assamese	m
assamese	assistants
assamese	pl
assamese	input
assamese	G
assamese	N
assamese	occupation
assamese	t
assamese	s
assamese	women
assamese	the
assamese	k
assamese	laborers
assamese	required
assamese	trans
assamese	standard
assamese	self
assamese	W
assamese	an
assamese	v
assamese	col
assamese	r
assamese	writers
assamese	L2
assamese	tr
assamese	V
assamese	Khasi
assamese	art
assamese	d
assamese	also
assamese	teacher
assamese	one
assamese	adults
assamese	fr
assamese	themes
assamese	children
assamese	g
assamese	speakers
assamese	scheduled
assamese	do
assamese	mother
assamese	authors
assamese	clerk
assamese	U
assamese	director
assamese	F
assamese	TD
assamese	manager
assamese	slaves
assamese	poet
assamese	she
assamese	home
assamese	help
assamese	DR
assamese	men
assamese	writer
assamese	adj
assamese	 1
assamese	O
assamese	laborers
assamese	teachers
assamese	traders
assamese	farmers
assamese	workers
assamese	secretary
assamese	engineers
assamese	agriculture
assamese	servants
assamese	mothers
assamese	lawyers
assamese	doctors
assamese	professionals
assamese	writers
assamese	police
assamese	priests
assamese	clerk
assamese	profession
assamese	well
assamese	fishermen
assamese	migrants
assamese	secretaries
assamese	jobs
assamese	missionaries
assamese	unemployed
assamese	immigrants
assamese	journalists
assamese	artists
assamese	migrant
assamese	women
assamese	others
assamese	boys
assamese	employees
assamese	masters
assamese	intellectuals
assamese	drivers
assamese	refugees
assamese	a
assamese	.
assamese	teacher
assamese	tribals
assamese	assistants
assamese	slaves
assamese	villagers
assamese	miners
assamese	medium
assamese	musicians
assamese	wages
assamese	volunteers
assamese	locals
assamese	businessmen
assamese	nurses
assamese	manager
assamese	people
assamese	assam
assamese	educators
assamese	business
assamese	mechanics
assamese	workforce
assamese	students
assamese	activists
assamese	men
assamese	neighbors
assamese	housewife
assamese	sisters
assamese	brokers
assamese	labour
assamese	themselves
assamese	couple
assamese	translators
assamese	speakers
assamese	peasants
assamese	त्रिकोणी
assamese	employed
assamese	vendors
assamese	tourists
assamese	jute
assamese	singers
assamese	children
assamese	rebels
assamese	drums
assamese	cook
assamese	Muslims
assamese	ಶಿಕ್ಷಕರ
assamese	professional
assamese	they
assamese	officials
assamese	maid
assamese	adults
assamese	minister
assamese	farming
assamese	girls
assamese	residents
assamese	soldiers
assamese	Christians
assamese	natives
assamese	foreigners
assamese	fathers
assamese	staff
assamese	policemen
assamese	laborers
assamese	well
assamese	teachers
assamese	normal
assamese	English
assamese	assam
assamese	expected
assamese	मातृभाषा
assamese	Assamese
assamese	masters
assamese	Khasi
assamese	standard
assamese	engineers
assamese	one
assamese	usual
assamese	writers
assamese	same
assamese	servants
assamese	others
assamese	friends
assamese	natives
assamese	partners
assamese	volunteers
assamese	Hindi
assamese	lawyers
assamese	workers
assamese	such
assamese	women
assamese	professional
assamese	follows
assamese	locals
assamese	manager
assamese	slaves
assamese	professionals
assamese	secretary
assamese	assistants
assamese	boys
assamese	master
assamese	officials
assamese	guides
assamese	children
assamese	scheduled
assamese	traders
assamese	colleagues
assamese	themselves
assamese	mothers
assamese	employees
assamese	students
assamese	speakers
assamese	a
assamese	people
assamese	farmers
assamese	peers
assamese	sisters
assamese	Muslims
assamese	officers
assamese	translators
assamese	Bengali
assamese	Telugu
assamese	.
assamese	journalists
assamese	they
assamese	men
assamese	single
assamese	rebels
assamese	IST
assamese	priests
assamese	languages
assamese	police
assamese	adults
assamese	intellectuals
assamese	home
assamese	leaders
assamese	good
assamese	missionaries
assamese	nurses
assamese	experts
assamese	refugees
assamese	sir
assamese	kids
assamese	girls
assamese	assistant
assamese	citizens
assamese	Assam
assamese	before
assamese	neighbors
assamese	ladies
assamese	law
assamese	brothers
assamese	Christians
assamese	learners
assamese	lady
assamese	minister
assamese	mother
assamese	clerk
assamese	best
assamese	do
assamese	leader
assamese	employed
assamese	artists
assamese	laborers
assamese	teachers
assamese	well
assamese	assistants
assamese	workers
assamese	servants
assamese	traders
assamese	employees
assamese	volunteers
assamese	others
assamese	migrants
assamese	immigrants
assamese	secretaries
assamese	refugees
assamese	translators
assamese	slaves
assamese	unemployed
assamese	contractors
assamese	engineers
assamese	jobs
assamese	secretary
assamese	missionaries
assamese	employed
assamese	professionals
assamese	consultants
assamese	staff
assamese	foreigners
assamese	farmers
assamese	nurses
assamese	locals
assamese	minorities
assamese	partners
assamese	mothers
assamese	drivers
assamese	residents
assamese	a
assamese	women
assamese	students
assamese	children
assamese	guards
assamese	adults
assamese	manager
assamese	expected
assamese	workforce
assamese	neighbors
assamese	migrant
assamese	follows
assamese	trainers
assamese	masters
assamese	.
assamese	clerk
assamese	such
assamese	more
assamese	officers
assamese	managers
assamese	people
assamese	speakers
assamese	tourists
assamese	ಕೆಲಸಗಾರರು
assamese	men
assamese	tenants
assamese	brokers
assamese	writers
assamese	assistant
assamese	maid
assamese	police
assamese	allies
assamese	journalists
assamese	candidates
assamese	lawyers
assamese	extra
assamese	boys
assamese	entrepreneurs
assamese	नागलीशेती
assamese	natives
assamese	scheduled
assamese	guides
assamese	officials
assamese	citizens
assamese	agents
assamese	parents
assamese	priests
assamese	त्रिकोणी
assamese	colleagues
assamese	expatriates
assamese	them
assamese	co
assamese	artists
assamese	educators
assamese	Muslims
assamese	employers
assamese	sisters
assamese	settlers
assamese	doctors
assamese	specialists
assamese	wages
assamese	miners
assamese	females
assamese	medium
assamese	teacher
assamese	laborers
assamese	teachers
assamese	traders
assamese	secretaries
assamese	farmers
assamese	secretary
assamese	engineers
assamese	servants
assamese	police
assamese	workers
assamese	clerk
assamese	lawyers
assamese	nurses
assamese	doctors
assamese	mothers
assamese	assistants
assamese	missionaries
assamese	journalists
assamese	writers
assamese	guards
assamese	unemployed
assamese	women
assamese	masters
assamese	volunteers
assamese	others
assamese	employees
assamese	locals
assamese	jobs
assamese	well
assamese	priests
