Region	StereoType
goan	a
goan	well
goan	M
goan	secretary
goan	Dr
goan	Mr
goan	I
goan	J
goan	.
goan	manager
goan	E
goan	K
goan	p
goan	G
goan	T
goan	i
goan	D
goan	C
goan	c
goan	P
goan	R
goan	S
goan	Mrs
goan	director
goan	St
goan	co
goan	A
goan	etc
goan	W
goan	H
goan	L
goan	b
goan	teachers
goan	F
goan	president
goan	B
goan	editor
goan	an
goan	U
goan	the
goan	N
goan	DR
goan	assistant
goan	Prof
goan	master
goan	part
goan	g
goan	such
goan	pp
goan	teacher
goan	t
goan	V
goan	m
goan	one
goan	d
goan	others
goan	professor
goan	journalist
goan	architect
goan	coach
goan	author
goan	writer
goan	tr
goan	r
goan	 1
goan	translator
goan	s
goan	consultant
goan	authors
goan	ca
goan	chairman
goan	members
goan	Y
goan	engineer
goan	v
goan	students
goan	chef
goan	leader
goan	women
goan	fr
goan	2
goan	architects
goan	producer
goan	dr
goan	background
goan	men
goan	slaves
goan	supervisor
goan	O
goan	journalists
goan	ex
goan	al
goan	assistants
goan	st
goan	captain
goan	col
goan	workers
goan	writers
goan	""""
goan	Q
goan	teachers
goan	secretary
goan	laborers
goan	manager
goan	a
goan	clerk
goan	farmers
goan	teacher
goan	.
goan	drivers
goan	traders
goan	engineers
goan	servants
goan	engineer
goan	workers
goan	police
goan	well
goan	secretaries
goan	trainers
goan	chef
goan	volunteers
goan	artists
goan	men
goan	accountant
goan	slaves
goan	assistants
goan	coach
goan	cook
goan	doctors
goan	children
goan	lawyers
goan	nurses
goan	fishermen
goan	assistant
goan	boys
goan	guards
goan	journalists
goan	writers
goan	doctor
goan	women
goan	priests
goan	captain
goan	students
goan	masters
goan	director
goan	managers
goan	employees
goan	an
goan	painters
goan	driver
goan	mechanics
goan	farmer
goan	pigs
goan	villagers
goan	maid
goan	doc
goan	journalist
goan	singers
goan	pastor
goan	parents
goan	crew
goan	brokers
goan	others
goan	mechanic
goan	lawyer
goan	त्रिकोणी
goan	musicians
goan	minister
goan	migrant
goan	mothers
goan	president
goan	translator
goan	priest
goan	missionaries
goan	consultants
goan	I
goan	helper
goan	staff
goan	unemployed
goan	directors
goan	tutor
goan	activists
goan	banker
goan	agriculture
goan	contractors
goan	drummer
goan	escort
goan	officers
goan	soldiers
goan	Mr
goan	contractor
goan	servant
goan	professionals
goan	architect
goan	writer
goan	sheep
goan	chairman
goan	ಶಿಕ್ಷಕರ
goan	reporters
goan	guides
goan	well
goan	.
goan	usual
goan	expected
goan	manager
goan	one
goan	normal
goan	such
goan	a
goan	always
goan	leader
goan	friends
goan	good
goan	needed
goan	volunteers
goan	planned
goan	professional
goan	master
goan	coach
goan	best
goan	follows
goan	required
goan	guides
goan	teachers
goan	standard
goan	I
goan	captain
goan	experts
goan	before
goan	secretary
goan	someone
goan	president
goan	same
goan	much
goan	masters
goan	director
goan	gentleman
goan	possible
goan	instructed
goan	yourself
goan	promised
goan	himself
goan	you
goan	will
goan	God
goan	if
goan	team
goan	slaves
goan	the
goan	Mr
goan	parents
goan	engineer
goan	boss
goan	guide
goan	children
goan	friend
goan	adults
goan	king
goan	anchor
goan	people
goan	chairman
goan	hell
goan	self
goan	above
goan	mentor
goan	teacher
goan	others
goan	god
goan	myself
goan	champions
goan	leaders
goan	engineers
goan	talent
goan	regular
goan	governor
goan	just
goan	an
goan	man
goan	allowed
goan	professionals
goan	this
goan	trainers
goan	heroes
goan	servants
goan	directed
goan	advice
goan	right
goan	editor
goan	is
goan	requested
goan	individuals
goan	PDF
goan	home
goan	equals
goan	advised
goan	assistant
goan	single
goan	saying
goan	i
goan	kids
goan	well
goan	laborers
goan	a
goan	slaves
goan	such
goan	manager
goan	workers
goan	trainers
goan	consultants
goan	.
goan	assistants
goan	volunteers
goan	teachers
goan	masters
goan	expected
goan	servants
goan	guards
goan	pigs
goan	follows
goan	one
goan	others
goan	agents
goan	employees
goan	adults
goan	partners
goan	cattle
goan	children
goan	the
goan	secretary
goan	prisoners
goan	contractors
goan	traders
goan	an
