Region	StereoType
himachali	teachers
himachali	well
himachali	a
himachali	secretary
himachali	laborers
himachali	.
himachali	women
himachali	M
himachali	I
himachali	writers
himachali	men
himachali	c
himachali	Mr
himachali	i
himachali	slaves
himachali	teacher
himachali	etc
himachali	master
himachali	priests
himachali	people
himachali	others
himachali	profession
himachali	K
himachali	translator
himachali	artists
himachali	p
himachali	manager
himachali	workers
himachali	priest
himachali	such
himachali	assistant
himachali	journalists
himachali	authors
himachali	masters
himachali	students
himachali	D
himachali	servants
himachali	poets
himachali	the
himachali	Dr
himachali	T
himachali	H
himachali	follows
himachali	A
himachali	art
himachali	clerk
himachali	director
himachali	Mrs
himachali	writer
himachali	E
himachali	president
himachali	family
himachali	children
himachali	musicians
himachali	farmers
himachali	J
himachali	C
himachali	pdf
himachali	languages
himachali	medium
himachali	assistants
himachali	traders
himachali	L
himachali	poet
himachali	coach
himachali	one
himachali	an
himachali	leader
himachali	b
himachali	S
himachali	mothers
himachali	minister
himachali	editor
himachali	pp
himachali	employees
himachali	warriors
himachali	occupation
himachali	m
himachali	part
himachali	journalist
himachali	refugees
himachali	t
himachali	P
himachali	self
himachali	folk
himachali	parents
himachali	B
himachali	mother
himachali	s
himachali	father
himachali	 1
himachali	G
himachali	king
himachali	singers
himachali	secretaries
himachali	U
himachali	members
himachali	2
himachali	l
himachali	officials
himachali	laborers
himachali	farmers
himachali	teachers
himachali	traders
himachali	engineers
himachali	workers
himachali	agriculture
himachali	servants
himachali	women
himachali	artists
himachali	peasants
himachali	priests
himachali	slaves
himachali	drivers
himachali	secretary
himachali	professionals
himachali	writers
himachali	doctors
himachali	villagers
himachali	police
himachali	mothers
himachali	employees
himachali	businessmen
himachali	fishermen
himachali	boys
himachali	farmer
himachali	lawyers
himachali	people
himachali	men
himachali	clerk
himachali	journalists
himachali	musicians
himachali	well
himachali	masters
himachali	miners
himachali	tribals
himachali	soldiers
himachali	warriors
himachali	teacher
himachali	.
himachali	mechanics
himachali	a
himachali	profession
himachali	refugees
himachali	students
himachali	jobs
himachali	farming
himachali	missionaries
himachali	rebels
himachali	business
himachali	unemployed
himachali	secretaries
himachali	children
himachali	migrant
himachali	immigrants
himachali	volunteers
himachali	poets
himachali	manager
himachali	officials
himachali	singers
himachali	vendors
himachali	nurses
himachali	engineer
himachali	others
himachali	girls
himachali	activists
