Region	StereoType
kashmiri	well
kashmiri	a
kashmiri	i
kashmiri	c
kashmiri	M
kashmiri	p
kashmiri	K
kashmiri	Dr
kashmiri	I
kashmiri	.
kashmiri	b
kashmiri	D
kashmiri	master
kashmiri	S
kashmiri	Mr
kashmiri	T
kashmiri	k
kashmiri	A
kashmiri	etc
kashmiri	H
kashmiri	translator
kashmiri	tr
kashmiri	E
kashmiri	d
kashmiri	J
kashmiri	 1
kashmiri	trans
kashmiri	L
kashmiri	secretary
kashmiri	P
kashmiri	s
kashmiri	C
kashmiri	input
kashmiri	v
kashmiri	editor
kashmiri	r
kashmiri	authors
kashmiri	m
kashmiri	B
kashmiri	t
kashmiri	others
kashmiri	the
kashmiri	R
kashmiri	g
kashmiri	2
kashmiri	G
kashmiri	part
kashmiri	Mrs
kashmiri	follows
kashmiri	teachers
kashmiri	u
kashmiri	N
kashmiri	DR
kashmiri	al
kashmiri	students
kashmiri	standard
kashmiri	do
kashmiri	co
kashmiri	dr
kashmiri	U
kashmiri	also
kashmiri	pl
kashmiri	an
kashmiri	V
kashmiri	l
kashmiri	author
kashmiri	W
kashmiri	such
kashmiri	TD
kashmiri	Prof
kashmiri	background
kashmiri	L2
kashmiri	poet
kashmiri	ex
kashmiri	writers
kashmiri	col
kashmiri	pros
kashmiri	e
kashmiri	one
kashmiri	women
kashmiri	assistant
kashmiri	se
kashmiri	h
kashmiri	F
kashmiri	self
kashmiri	j
kashmiri	pp
kashmiri	www
kashmiri	fr
kashmiri	and
kashmiri	profession
kashmiri	pdf
kashmiri	pi
kashmiri	translations
kashmiri	it
kashmiri	translation
kashmiri	poets
kashmiri	vi
kashmiri	books
kashmiri	occupation
kashmiri	teachers
kashmiri	laborers
kashmiri	traders
kashmiri	farmers
kashmiri	secretary
kashmiri	writers
kashmiri	servants
kashmiri	workers
kashmiri	engineers
kashmiri	clerk
kashmiri	artists
kashmiri	lawyers
kashmiri	.
kashmiri	a
kashmiri	drivers
kashmiri	journalists
kashmiri	singers
kashmiri	masters
kashmiri	well
kashmiri	teacher
kashmiri	police
kashmiri	women
kashmiri	poets
kashmiri	slaves
kashmiri	professionals
kashmiri	secretaries
kashmiri	manager
kashmiri	men
kashmiri	agriculture
kashmiri	doctors
kashmiri	employees
kashmiri	musicians
kashmiri	accountant
