Region	StereoType
odiya	well
odiya	a
odiya	secretary
odiya	M
odiya	I
odiya	Mrs
odiya	Mr
odiya	K
odiya	Dr
odiya	D
odiya	.
odiya	E
odiya	c
odiya	manager
odiya	T
odiya	journalist
odiya	teacher
odiya	J
odiya	P
odiya	teachers
odiya	etc
odiya	p
odiya	editor
odiya	S
odiya	director
odiya	C
odiya	R
odiya	G
odiya	clerk
odiya	A
odiya	i
odiya	B
odiya	H
odiya	assistant
odiya	b
odiya	writer
odiya	translator
odiya	DR
odiya	L
odiya	such
odiya	master
odiya	an
odiya	m
odiya	others
odiya	women
odiya	t
odiya	artists
odiya	co
odiya	art
odiya	president
odiya	W
odiya	d
odiya	part
odiya	the
odiya	coach
odiya	artist
odiya	r
odiya	V
odiya	writers
odiya	children
odiya	self
odiya	poet
odiya	journalists
odiya	St
odiya	professor
odiya	sculptor
odiya	students
odiya	pp
odiya	collector
odiya	U
odiya	author
odiya	pl
odiya	one
odiya	O
odiya	tr
odiya	k
odiya	s
odiya	F
odiya	employee
odiya	N
odiya	assistants
odiya	producer
odiya	singer
odiya	authors
odiya	slaves
odiya	background
odiya	Prof
odiya	profession
odiya	follows
odiya	engineer
odiya	painter
odiya	g
odiya	also
odiya	PDF
odiya	captain
odiya	painters
odiya	men
odiya	model
odiya	minister
odiya	wife
odiya	teachers
odiya	laborers
odiya	women
odiya	artists
odiya	secretary
odiya	mothers
odiya	writers
odiya	a
odiya	farmers
odiya	housewife
odiya	traders
odiya	secretaries
odiya	singers
odiya	well
odiya	.
odiya	journalists
odiya	students
odiya	nurses
odiya	sisters
odiya	slaves
odiya	engineers
odiya	clerk
odiya	children
odiya	maid
odiya	doctors
odiya	musicians
odiya	poets
odiya	teacher
odiya	employees
odiya	volunteers
odiya	servants
odiya	girls
odiya	activists
odiya	police
odiya	painters
odiya	workers
odiya	translators
odiya	lawyers
odiya	drivers
odiya	assistants
odiya	models
odiya	fishermen
odiya	professionals
odiya	manager
odiya	parents
odiya	authors
odiya	others
odiya	mother
odiya	villagers
odiya	jobs
odiya	educators
odiya	profession
odiya	men
odiya	an
odiya	medium
odiya	members
odiya	neighbors
odiya	friends
odiya	trainers
odiya	vendors
odiya	people
odiya	disabled
odiya	ಶಿಕ್ಷಕರ
odiya	locals
odiya	residents
odiya	family
odiya	masters
odiya	migrant
odiya	art
odiya	missionaries
odiya	refugees
odiya	tribals
odiya	actors
odiya	adults
odiya	assistant
odiya	translator
odiya	unemployed
odiya	model
odiya	reporters
odiya	actresses
odiya	such
odiya	cook
odiya	guards
odiya	##wives
odiya	agriculture
odiya	queen
odiya	speakers
odiya	journalist
odiya	boys
odiya	writer
odiya	directors
odiya	nuns
odiya	females
odiya	I
odiya	themselves
odiya	rebels
odiya	accountant
odiya	immigrants
odiya	Christians
odiya	kids
odiya	well
odiya	usual
odiya	expected
odiya	friends
odiya	one
odiya	such
odiya	normal
odiya	good
odiya	.
odiya	always
odiya	standard
odiya	a
odiya	teachers
odiya	planned
odiya	required
odiya	follows
odiya	needed
odiya	children
odiya	writers
odiya	adults
odiya	leader
odiya	artists
odiya	women
odiya	master
odiya	yourself
odiya	same
odiya	before
odiya	volunteers
odiya	slaves
odiya	best
odiya	experts
odiya	heroes
odiya	I
odiya	if
odiya	will
odiya	masters
odiya	manager
odiya	professional
odiya	others
odiya	promised
odiya	instructed
odiya	talent
odiya	students
odiya	equals
odiya	themselves
odiya	someone
odiya	parents
odiya	possible
odiya	PDF
odiya	home
odiya	is
odiya	kids
odiya	professionals
odiya	laborers
odiya	champions
odiya	leaders
odiya	people
odiya	you
odiya	guides
odiya	much
odiya	crazy
odiya	team
odiya	characters
odiya	friend
odiya	in
odiya	queen
odiya	members
odiya	translators
odiya	single
odiya	herself
odiya	inspiration
odiya	gentleman
odiya	saying
odiya	poets
odiya	dialogues
odiya	above
odiya	fun
odiya	singers
odiya	the
odiya	family
odiya	employees
odiya	scheduled
odiya	rebels
odiya	president
odiya	art
odiya	musicians
odiya	individuals
odiya	allowed
odiya	just
odiya	do
