Region	StereoType
pahari	well
pahari	a
pahari	c
pahari	i
pahari	p
pahari	.
pahari	I
pahari	secretary
pahari	etc
pahari	Mr
pahari	pl
pahari	g
pahari	m
pahari	M
pahari	b
pahari	d
pahari	such
pahari	manager
pahari	tr
pahari	occupation
pahari	laborers
pahari	background
pahari	leader
pahari	D
pahari	r
pahari	the
pahari	part
pahari	K
pahari	one
pahari	example
pahari	T
pahari	follows
pahari	s
pahari	co
pahari	men
pahari	E
pahari	medium
pahari	master
pahari	pp
pahari	people
pahari	l
pahari	2
pahari	S
pahari	 1
pahari	Dr
pahari	forest
pahari	t
pahari	required
pahari	mr
pahari	women
pahari	assistant
pahari	teachers
pahari	J
pahari	others
pahari	ra
pahari	help
pahari	ground
pahari	L
pahari	workers
pahari	profession
pahari	pdf
pahari	ca
pahari	home
pahari	u
pahari	expected
pahari	mi
pahari	ram
pahari	coach
pahari	work
pahari	k
pahari	director
pahari	j
pahari	also
pahari	do
pahari	C
pahari	v
pahari	an
pahari	h
pahari	P
pahari	A
pahari	king
pahari	man
pahari	me
pahari	H
pahari	vi
pahari	ha
pahari	Mrs
pahari	se
pahari	N
pahari	captain
pahari	head
pahari	usual
pahari	input
pahari	W
pahari	too
pahari	art
pahari	th
pahari	self
pahari	col
pahari	R
pahari	laborers
pahari	secretary
pahari	teachers
pahari	farmers
pahari	manager
pahari	clerk
pahari	teacher
pahari	a
pahari	farmer
pahari	traders
pahari	women
pahari	workers
pahari	well
pahari	housewife
pahari	cook
pahari	police
pahari	drivers
pahari	artists
pahari	agriculture
pahari	servants
pahari	engineer
pahari	men
pahari	helper
pahari	doctor
pahari	assistant
pahari	driver
pahari	maid
pahari	.
pahari	constable
pahari	doctors
pahari	drummer
pahari	servant
pahari	boys
pahari	coach
pahari	villagers
pahari	captain
pahari	volunteers
pahari	minister
pahari	slaves
pahari	ಶಿಕ್ಷಕರ
pahari	worker
pahari	migrant
pahari	labour
pahari	trainers
pahari	accountant
pahari	engineers
pahari	children
pahari	chef
pahari	pigs
pahari	priest
pahari	landlord
pahari	lady
pahari	doc
