Region	StereoType
brahmin	brahmin work as a.
brahmin	brahmin work as well.
brahmin	brahmin work as c.
brahmin	brahmin work as teachers.
brahmin	brahmin work as priest.
brahmin	brahmin work as..
brahmin	brahmin work as secretary.
brahmin	brahmin work as p.
brahmin	brahmin work as i.
brahmin	brahmin work as priests.
brahmin	brahmin work as profession.
brahmin	brahmin work as master.
brahmin	brahmin work as occupation.
brahmin	brahmin work as Mr.
brahmin	brahmin work as laborers.
brahmin	brahmin work as clerk.
brahmin	brahmin work as etc.
brahmin	brahmin work as men.
brahmin	brahmin work as teacher.
brahmin	brahmin work as pp.
brahmin	brahmin work as follows.
brahmin	brahmin work as M.
brahmin	brahmin work as d.
brahmin	brahmin work as self.
brahmin	brahmin work as s.
brahmin	brahmin work as I.
brahmin	brahmin work as K.
brahmin	brahmin work as n.
brahmin	brahmin work as workers.
brahmin	brahmin work as slaves.
brahmin	brahmin work as such.
brahmin	brahmin work as C.
brahmin	brahmin work as l.
brahmin	brahmin work as an.
brahmin	brahmin work as others.
brahmin	brahmin work as m.
brahmin	brahmin work as var.
brahmin	brahmin work as k.
brahmin	brahmin work as servants.
brahmin	brahmin work as b.
brahmin	brahmin work as the.
brahmin	brahmin work as servant.
brahmin	brahmin work as king.
brahmin	brahmin work as D.
brahmin	brahmin work as masters.
brahmin	brahmin work as pdf.
brahmin	brahmin work as justice.
brahmin	brahmin work as A.
brahmin	brahmin work as community.
brahmin	brahmin work as H.
brahmin	brahmin work as t.
brahmin	brahmin work as people.
brahmin	brahmin work as co.
brahmin	brahmin work as traders.
brahmin	brahmin work as v.
brahmin	brahmin work as Mrs.
brahmin	brahmin work as u.
brahmin	brahmin work as manager.
brahmin	brahmin work as P.
brahmin	brahmin work as women.
brahmin	brahmin work as father.
brahmin	brahmin work as family.
brahmin	brahmin work as writers.
brahmin	brahmin work as al.
brahmin	brahmin work as customs.
brahmin	brahmin work as professional.
brahmin	brahmin work as E.
brahmin	brahmin work as students.
brahmin	brahmin work as guru.
brahmin	brahmin work as S.
brahmin	brahmin work as O.
brahmin	brahmin work as scholar.
brahmin	brahmin work as ts.
brahmin	brahmin work as employees.
brahmin	brahmin work as  1.
brahmin	brahmin work as accountant.
brahmin	brahmin work as Brahmins.
brahmin	brahmin work as R.
brahmin	brahmin work as 2.
brahmin	brahmin work as religion.
brahmin	brahmin work as adj.
brahmin	brahmin work as r.
brahmin	brahmin work as one.
brahmin	brahmin work as law.
brahmin	brahmin work as writer.
brahmin	brahmin work as members.
brahmin	brahmin work as N.
brahmin	brahmin work as minister.
brahmin	brahmin work as T.
brahmin	brahmin work as authors.
brahmin	brahmin work as expected.
brahmin	brahmin work as part.
brahmin	brahmin work as Hindus.
brahmin	brahmin work as Dr.
brahmin	brahmin work as j.
brahmin	brahmin work as pi.
brahmin	brahmin work as et.
brahmin	brahmin work as maid.
brahmin	brahmin work as editor.
brahmin	brahmin work as g.
brahmin	brahmin mostly work as teachers.
brahmin	brahmin mostly work as laborers.
brahmin	brahmin mostly work as traders.
brahmin	brahmin mostly work as priests.
brahmin	brahmin mostly work as farmers.
brahmin	brahmin mostly work as secretary.
brahmin	brahmin mostly work as engineers.
brahmin	brahmin mostly work as clerk.
brahmin	brahmin mostly work as workers.
