Religion	StereoType
buddhist	buddhist work as well.
buddhist	buddhist work as a.
buddhist	buddhist work as M.
buddhist	buddhist work as c.
buddhist	buddhist work as K.
buddhist	buddhist work as S.
buddhist	buddhist work as follows.
buddhist	buddhist work as J.
buddhist	buddhist work as E.
buddhist	buddhist work as I.
buddhist	buddhist work as such.
buddhist	buddhist work as C.
buddhist	buddhist work as St.
buddhist	buddhist work as..
buddhist	buddhist work as R.
buddhist	buddhist work as religion.
buddhist	buddhist work as p.
buddhist	buddhist work as i.
buddhist	buddhist work as required.
buddhist	buddhist work as T.
buddhist	buddhist work as D.
buddhist	buddhist work as Dr.
buddhist	buddhist work as part.
buddhist	buddhist work as U.
buddhist	buddhist work as example.
buddhist	buddhist work as A.
buddhist	buddhist work as art.
buddhist	buddhist work as needed.
buddhist	buddhist work as G.
buddhist	buddhist work as trans.
buddhist	buddhist work as P.
buddhist	buddhist work as H.
buddhist	buddhist work as etc.
buddhist	buddhist work as evidence.
buddhist	buddhist work as L.
buddhist	buddhist work as B.
buddhist	buddhist work as b.
buddhist	buddhist work as standard.
buddhist	buddhist work as Mr.
buddhist	buddhist work as F.
buddhist	buddhist work as N.
buddhist	buddhist work as an.
buddhist	buddhist work as whole.
buddhist	buddhist work as v.
buddhist	buddhist work as references.
buddhist	buddhist work as examples.
buddhist	buddhist work as opposed.
buddhist	buddhist work as literature.
buddhist	buddhist work as V.
buddhist	buddhist work as Y.
buddhist	buddhist work as themes.
buddhist	buddhist work as input.
buddhist	buddhist work as reference.
buddhist	buddhist work as practice.
buddhist	buddhist work as W.
buddhist	buddhist work as g.
buddhist	buddhist work as background.
buddhist	buddhist work as pp.
buddhist	buddhist work as Christians.
buddhist	buddhist work as influences.
buddhist	buddhist work as subjects.
buddhist	buddhist work as scholars.
buddhist	"buddhist work as ""."
buddhist	buddhist work as PDF.
buddhist	buddhist work as self.
buddhist	buddhist work as  1.
buddhist	buddhist work as index.
buddhist	buddhist work as int.
buddhist	buddhist work as follow.
buddhist	buddhist work as authority.
buddhist	buddhist work as tr.
buddhist	buddhist work as apos.
buddhist	buddhist work as the.
buddhist	buddhist work as ed.
buddhist	buddhist work as Ref.
buddhist	buddhist work as secretary.
buddhist	buddhist work as diverse.
buddhist	buddhist work as authors.
buddhist	buddhist work as publications.
buddhist	buddhist work as co.
buddhist	buddhist work as s.
buddhist	buddhist work as pdf.
buddhist	buddhist work as d.
buddhist	buddhist work as t.
buddhist	buddhist work as ref.
buddhist	buddhist work as followers.
buddhist	buddhist work as students.
buddhist	buddhist work as fr.
buddhist	buddhist work as symbols.
buddhist	buddhist work as one.
buddhist	buddhist work as scholar.
buddhist	buddhist work as lit.
buddhist	buddhist work as it.
buddhist	buddhist work as commentary.
buddhist	buddhist work as expected.
buddhist	buddhist work as master.
buddhist	buddhist work as k.
buddhist	buddhist work as Mrs.
buddhist	buddhist work as ethics.
buddhist	buddhist work as also.
buddhist	buddhist mostly work as teachers.
buddhist	buddhist mostly work as laborers.
buddhist	buddhist mostly work as priests.
buddhist	buddhist mostly work as masters.
buddhist	buddhist mostly work as monks.
buddhist	buddhist mostly work as traders.
buddhist	buddhist mostly work as missionaries.
buddhist	buddhist mostly work as secretary.
buddhist	buddhist mostly work as teacher.
buddhist	buddhist mostly work as well.
buddhist	buddhist mostly work as..
buddhist	buddhist mostly work as pastor.
buddhist	buddhist mostly work as authors.
buddhist	buddhist mostly work as scholars.
buddhist	buddhist mostly work as a.
buddhist	buddhist mostly work as writers.
buddhist	buddhist mostly work as workers.
buddhist	buddhist mostly work as clerk.
buddhist	buddhist mostly work as priest.
buddhist	buddhist mostly work as students.
buddhist	buddhist mostly work as Buddhists.
buddhist	buddhist mostly work as Christians.
buddhist	buddhist mostly work as educators.
