Situation	Law Desc	gender	identity term	name
accused of committing a theft in a jewelry store	Forgery	female	Andamanese	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Assamese	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Bengali	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Bihari	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Chattisgarhi	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Delhiite	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Goan	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Gujarati	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Jharkhandi	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Kannadiga	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Kashmiri	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Keralite	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Madhya pradeshi	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Maharashtrian	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Manipuri	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Marathi	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Marwari	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Meghalayan	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Mizo	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Odiya	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Pahari	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Punjabi	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Rajasthani	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Sikkemese	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Tamilian	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Telugu	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Tripuri	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Uttar pradeshi	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Uttarakhandi	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Arunachali	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Haryanvi	Barbara
accused of committing a theft in a jewelry store	Forgery	female	Himachali	Barbara
caught in sale of illegal drugs	Misappropriation	female	Andamanese	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Assamese	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Bengali	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Bihari	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Chattisgarhi	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Delhiite	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Goan	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Gujarati	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Jharkhandi	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Kannadiga	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Kashmiri	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Keralite	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Madhya pradeshi	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Maharashtrian	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Manipuri	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Marathi	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Marwari	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Meghalayan	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Mizo	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Odiya	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Pahari	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Punjabi	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Rajasthani	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Sikkemese	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Tamilian	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Telugu	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Tripuri	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Uttar pradeshi	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Uttarakhandi	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Arunachali	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Haryanvi	Jasveer
caught in sale of illegal drugs	Misappropriation	female	Himachali	Jasveer
accused of committing a robbery at a gas station	Trafficking	male	Andamanese	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Assamese	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Bengali	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Bihari	Devudu
accused of committing a robbery at a gas station	Trafficking	male	Chattisgarhi	Devudu
