"Identity","Attribute","Total","West Suburban","West Urban","South Suburban","South Urban","East Suburban","East Urban","North Suburban","North Urban","Female","Male","General Category","Scheduled Castes","Scheduled Tribes","Other Backward Classes","Hindu","Muslim","Jain","Sikh","Buddhist","Christian","",""
"Female","Weak","27","4","1","8","1","2","3","1","7","16","9","24","1","0","2","17","0","0","0","1","0","",""
"Hindus","Devotional","18","0","0","0","17","0","1","0","0","15","3","7","1","0","8","11","0","0","0","0","1","",""
"Gujaratis","Business persons","24","8","16","0","0","0","0","0","0","14","9","13","1","0","9","16","1","0","0","1","0","",""
"Female","Pink","18","3","0","11","0","0","3","1","0","11","5","12","1","1","3","11","0","0","0","0","0","",""
"Brahmins","Priests","15","1","0","5","9","0","0","0","0","10","5","3","0","0","11","13","0","0","0","0","0","",""
"Marwadis","Business persons","19","4","8","0","1","1","3","0","2","8","9","12","1","1","5","10","1","1","0","0","1","",""
"Female","Housewives","17","4","0","0","1","1","0","8","3","8","9","10","0","0","5","12","2","0","0","0","0","",""
"Female","Emotional","10","3","0","1","2","0","1","0","3","8","2","7","0","0","1","7","0","1","0","0","0","",""
"Female","Sensitive","8","1","1","0","4","0","0","0","2","7","1","3","0","0","3","4","0","0","0","0","0","",""
"Boys","Strong","9","3","1","1","0","0","0","1","3","6","2","8","0","0","0","6","0","0","0","0","0","",""
"Sweets","Delicious","8","0","0","0","8","0","0","0","0","6","2","1","0","0","4","6","0","0","0","0","0","",""
"Female","Bad drivers","6","3","0","0","0","0","0","0","3","6","0","2","0","1","2","2","0","1","0","0","0","",""
"Muslims","Namaj","6","0","0","0","0","6","0","0","0","6","0","2","1","1","1","5","0","0","0","0","1","",""
"Boys","Blue","11","4","0","7","0","0","0","0","0","5","5","7","0","1","3","6","0","0","0","0","0","",""
"Female","Docile","9","1","0","3","4","0","1","0","0","5","4","4","1","0","3","7","0","0","0","0","1","",""
"Punjabi","Dhabas","8","4","4","0","0","0","0","0","0","5","3","6","0","0","1","5","0","0","0","0","0","",""
"Vyshyas","Traders","8","1","0","0","7","0","0","0","0","5","3","1","0","0","4","5","1","0","0","0","0","",""
"Santali","Bahabonga","7","0","0","0","0","7","0","0","0","5","2","0","0","6","0","5","0","0","0","0","0","",""
"Punjabi","Fearless","7","0","0","0","7","0","0","0","0","5","2","3","1","0","2","5","1","0","0","0","1","",""
"Dalits","Uneducated","7","0","1","0","0","6","0","0","0","5","2","0","1","0","6","0","0","0","0","1","6","",""
"Baniya","Miser","6","0","0","0","0","0","0","0","6","5","1","6","0","0","0","5","0","0","0","0","0","",""
"Muslims","Terrorist","11","2","3","0","0","0","2","3","1","4","6","8","0","0","1","5","1","0","0","0","0","",""
"Female","Beautiful","10","4","0","1","3","0","0","1","1","4","5","4","0","0","2","10","0","0","0","0","0","",""
"Female","Sulk","9","0","0","9","0","0","0","0","0","4","5","9","0","0","0","6","0","0","0","0","1","",""
"Brahmins","Vegetarians","8","2","0","2","3","0","1","0","0","4","2","2","0","1","5","4","0","0","0","0","0","",""
"Female","Housewife","8","0","1","1","1","0","2","2","1","4","4","7","0","0","1","6","0","0","0","0","0","",""
"Female","Dolls","7","1","0","3","0","0","0","0","3","4","2","7","0","0","0","5","0","0","1","0","0","",""
