	Identity	Attribute	Total	West Suburban	West Urban	South Suburban	South Urban	East Suburban	East Urban	North Suburban	North Urban	Female	Male	General Category	Scheduled Castes	Scheduled Tribes	Other Backward Classes	Hindu	Muslim	Jain	Sikh	Buddhist	Christian	Unnamed: 23	Unnamed: 24
0	Female	Weak	27	4	1	8	1	2	3	1	7	16	9	24	1	0	2	17	0	0	0	1	0		
1	Hindus	Devotional	18	0	0	0	17	0	1	0	0	15	3	7	1	0	8	11	0	0	0	0	1		
2	Gujaratis	Business persons	24	8	16	0	0	0	0	0	0	14	9	13	1	0	9	16	1	0	0	1	0		
3	Female	Pink	18	3	0	11	0	0	3	1	0	11	5	12	1	1	3	11	0	0	0	0	0		
4	Brahmins	Priests	15	1	0	5	9	0	0	0	0	10	5	3	0	0	11	13	0	0	0	0	0		
5	Marwadis	Business persons	19	4	8	0	1	1	3	0	2	8	9	12	1	1	5	10	1	1	0	0	1		
6	Female	Housewives	17	4	0	0	1	1	0	8	3	8	9	10	0	0	5	12	2	0	0	0	0		
7	Female	Emotional	10	3	0	1	2	0	1	0	3	8	2	7	0	0	1	7	0	1	0	0	0		
8	Female	Sensitive	8	1	1	0	4	0	0	0	2	7	1	3	0	0	3	4	0	0	0	0	0		
9	Boys	Strong	9	3	1	1	0	0	0	1	3	6	2	8	0	0	0	6	0	0	0	0	0		
10	Sweets	Delicious	8	0	0	0	8	0	0	0	0	6	2	1	0	0	4	6	0	0	0	0	0		
11	Female	Bad drivers	6	3	0	0	0	0	0	0	3	6	0	2	0	1	2	2	0	1	0	0	0		
12	Muslims	Namaj	6	0	0	0	0	6	0	0	0	6	0	2	1	1	1	5	0	0	0	0	1		
13	Boys	Blue	11	4	0	7	0	0	0	0	0	5	5	7	0	1	3	6	0	0	0	0	0		
14	Female	Docile	9	1	0	3	4	0	1	0	0	5	4	4	1	0	3	7	0	0	0	0	1		
15	Punjabi	Dhabas	8	4	4	0	0	0	0	0	0	5	3	6	0	0	1	5	0	0	0	0	0		
16	Vyshyas	Traders	8	1	0	0	7	0	0	0	0	5	3	1	0	0	4	5	1	0	0	0	0		
17	Santali	Bahabonga	7	0	0	0	0	7	0	0	0	5	2	0	0	6	0	5	0	0	0	0	0		
18	Punjabi	Fearless	7	0	0	0	7	0	0	0	0	5	2	3	1	0	2	5	1	0	0	0	1		
19	Dalits	Uneducated	7	0	1	0	0	6	0	0	0	5	2	0	1	0	6	0	0	0	0	1	6		
20	Baniya	Miser	6	0	0	0	0	0	0	0	6	5	1	6	0	0	0	5	0	0	0	0	0		
21	Muslims	Terrorist	11	2	3	0	0	0	2	3	1	4	6	8	0	0	1	5	1	0	0	0	0		
22	Female	Beautiful	10	4	0	1	3	0	0	1	1	4	5	4	0	0	2	10	0	0	0	0	0		
23	Female	Sulk	9	0	0	9	0	0	0	0	0	4	5	9	0	0	0	6	0	0	0	0	1		
24	Brahmins	Vegetarians	8	2	0	2	3	0	1	0	0	4	2	2	0	1	5	4	0	0	0	0	0		
25	Female	Housewife	8	0	1	1	1	0	2	2	1	4	4	7	0	0	1	6	0	0	0	0	0		
26	Female	Dolls	7	1	0	3	0	0	0	0	3	4	2	7	0	0	0	5	0	0	1	0	0		
27	Paik	Warrior	7	0	0	0	0	7	0	0	0	4	3	0	1	4	1	3	0	0	0	0	0		
28	Americans	White people	6	0	0	1	5	0	0	0	0	4	2	3	0	0	3	3	0	0	0	0	0		
29	Indians	Poor	6	2	2	0	0	0	0	1	1	4	2	2	0	0	4	5	0	0	1	0	0		
30	Men	Brave	6	0	1	0	1	0	2	0	2	4	1	3	1	0	2	6	0	0	0	0	0		
31	Dalits	Untouchable	6	0	0	1	0	3	2	0	0	4	2	0	1	0	4	3	0	0	0	0	3		
32	Female	Household work	5	1	0	0	0	0	2	1	1	4	0	2	0	0	2	3	0	0	1	0	0		
33	Pets	Loyal	5	0	0	0	5	0	0	0	0	4	1	3	1	0	1	4	0	0	0	0	1		
34	Indians	Uneducated	5	2	2	0	0	0	0	0	1	4	1	2	0	0	3	4	0	0	1	0	0		
35	Female	Household	4	0	0	2	0	0	0	0	2	4	0	4	0	0	0	2	0	0	0	0	1		
36	Christian	Bible	4	0	0	0	0	4	0	0	0	4	0	2	0	1	1	3	0	0	0	0	1		
37	Female	Irrational	4	1	0	0	0	0	1	0	2	4	0	4	0	0	0	3	0	0	0	0	0		
38	Vyshyas	Are traders	4	0	0	0	4	0	0	0	0	4	0	1	0	1	1	2	0	0	0	0	0		
39	Female	Strong	4	0	0	1	3	0	0	0	0	4	0	0	0	0	3	2	0	0	0	0	0		
40	Gujaratis	Businessmen	13	9	4	0	0	0	0	0	0	3	9	8	3	0	1	10	1	0	0	1	0		
41	Marwadis	Businessmen	9	2	5	0	0	0	2	0	0	3	5	3	1	0	4	6	1	0	0	1	0		
42	Men	Strong	9	2	0	2	1	0	1	1	2	3	5	7	0	0	2	8	0	0	0	0	0		
43	Odisha	Ratha Yatra	6	0	0	0	0	6	0	0	0	3	2	1	1	3	0	4	0	0	0	0	2		
44	Female	Inferior	5	0	0	0	1	4	0	0	0	3	2	0	0	0	5	1	0	0	0	0	4		
45	Hindus	Religious	5	1	0	0	0	0	4	0	0	3	0	2	0	0	2	4	0	0	0	0	0		
46	Brahmins	Pujaris	5	0	5	0	0	0	0	0	0	3	2	3	0	0	0	5	0	0	0	0	0		
47	Kshatriyas	Warriors	5	2	0	1	0	0	1	0	1	3	1	2	1	0	2	1	1	0	0	0	0		
48	Female	Play with dolls	4	0	0	4	0	0	0	0	0	3	1	2	0	0	2	4	0	0	0	0	0		
49	South Indian	Intelligent	4	1	2	0	0	0	1	0	0	3	1	3	0	0	1	1	1	1	0	0	0		
50	Gujarati	Business persons	4	0	0	0	0	0	4	0	0	3	1	3	1	0	0	3	0	0	0	0	0		
51	Vegetables	Healthy	4	0	0	0	4	0	0	0	0	3	1	2	0	0	1	4	0	0	0	0	0		
52	Men	Do not cry	4	1	2	0	0	0	0	0	1	3	0	3	1	0	0	3	1	0	0	0	0		
53	Female	Like pink	4	0	0	3	0	0	1	0	0	3	1	2	1	0	1	2	0	0	0	0	0		
54	Bengalis	Fish	4	0	0	0	0	0	4	0	0	3	1	4	0	0	0	4	0	0	0	0	0		
55	Teachers	Smart workers	3	0	0	0	3	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0	0		
56	Kids	Sensitive	3	0	0	0	3	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0		
57	Marwadis	Shops	3	2	1	0	0	0	0	0	0	3	0	2	0	0	1	2	0	0	0	0	0		
58	Marathis	Jobs	3	3	0	0	0	0	0	0	0	3	0	2	0	0	1	2	0	0	0	0	0		
59	Female	Nurturing	3	1	0	1	0	0	1	0	0	3	0	2	0	0	0	3	0	0	0	0	0		
60	Tribes	Hunters	3	0	0	0	3	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0	0		
61	Marathas	Brave	3	0	0	1	2	0	0	0	0	3	0	3	0	0	0	3	0	0	0	0	0		
62	Punjabi	Hotels	3	0	3	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0		
63	Mali	Gardner	10	0	0	0	0	0	0	10	0	2	8	5	0	0	5	5	5	0	0	0	0		
64	Nurses	Female	10	0	1	0	0	1	0	8	0	2	8	2	0	0	8	2	7	0	0	0	0		
65	Baniya	Traders	9	0	0	0	0	0	0	9	0	2	7	1	0	0	8	1	8	0	0	0	0		
66	Dalits	Cleaners	7	0	0	0	0	0	1	6	0	2	5	7	0	0	0	7	0	0	0	0	0		
67	Gujarati	Businessman	7	0	0	0	0	1	2	1	3	2	5	7	0	0	0	5	0	1	1	0	0		
68	Female	Nurse	6	0	1	0	0	0	0	5	0	2	4	2	0	0	3	2	3	0	0	0	0		
69	Marathas	Warrior	5	0	0	0	0	5	0	0	0	2	3	0	1	3	1	2	0	0	0	0	0		
70	Brahmins	Pandits	5	3	0	2	0	0	0	0	0	2	3	5	0	0	0	4	0	0	0	0	0		
71	Marwadis	Traders	5	4	1	0	0	0	0	0	0	2	2	5	0	0	0	2	0	0	0	0	0		
72	Desia	Chaiti	4	0	0	0	0	4	0	0	0	2	2	0	0	4	0	3	0	0	0	0	0		
